/pt/s/rluck/svmd/results_2011_0117.txt

For some tkrs, CORR() between scores and 1 day gain is very good:

23:20:37 SQL> SELECT * FROM good_tkrs_svmd_v;

TKR            CRR_L      CRR_S
--------- ---------- ----------
MJN              .38       -.34
LFT              .31        -.3
V                .29        -.3
XLB              .26       -.33
VMW              .29       -.28
TLT              .28       -.29
QQQQ             .25       -.31
PM               .26       -.28
IOC              .25       -.29
SJM              .24       -.28
NEM              .28       -.22
GDX              .21       -.26
AMT              .27        -.2
DIA              .24       -.22
SKX              .25       -.21
BRCM             .23       -.23
GLD              .25       -.19
VECO             .23        -.2
ALL              .26       -.17
WDC              .24       -.18
KO               .14       -.27
SLV               .2       -.21
AKAM             .18       -.21
QCOM              .2       -.18
PEP              .18        -.2
GOOG              .2       -.17
IBM              .14       -.23
DD               .25       -.12
CREE             .17       -.19
MRK              .21       -.15
SNDK             .18       -.17
COF              .17       -.18
WMT              .23       -.11
WYNN             .19       -.15
IWM               .2       -.13
AMZN              .2       -.12
MCD              .14       -.18
GS               .16       -.15
SPY               .1       -.21
EFA              .18       -.13
CRM              .17       -.14
XLE              .14       -.16
XLU              .18       -.12
OIH              .14       -.15
DIS              .13       -.15
ABX              .16       -.11
PG               .14       -.11
MAR              .12       -.13
FSLR             .14        -.1
BIDU             .12       -.11
MET              .11       -.12

51 rows selected.

Elapsed: 00:00:00.02
23:20:37 SQL> 
23:20:37 SQL> exit
Disconnected from Oracle Database 11g Enterprise Edition Release 11.2.0.1.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options
oracle@z2:/pt/s/rluck/svmd$ 
