DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/21/06;16:00:01;2319;29.84;29.89;29.78;29.9
08/21/06;17:00:01;2415;29.88;29.84;29.8;29.91
08/21/06;18:00:01;2909;29.85;29.86;29.8;29.89
08/21/06;19:00:01;3727;29.86;29.97;29.82;29.97
08/22/06;13:00:01;2271;29.97;29.98;29.93;30.04
08/22/06;14:00:01;3938;29.98;29.99;29.88;30.06
08/22/06;15:00:01;3055;29.99;29.96;29.93;30.03
08/22/06;16:00:01;3769;29.97;29.79;29.71;29.99
08/22/06;17:00:01;4577;29.79;29.6;29.53;29.82
08/22/06;18:00:01;3526;29.59;29.64;29.49;29.66
08/22/06;19:00:01;3752;29.63;29.63;29.56;29.73
08/23/06;13:00:01;2259;29.63;29.79;29.49;29.79
08/23/06;14:00:01;4652;29.79;29.65;29.55;29.81
08/23/06;15:00:01;5177;29.64;29.3;29.28;29.68
08/23/06;16:00:01;3850;29.29;29.25;29.21;29.36
08/23/06;17:00:01;3863;29.25;29.17;29.14;29.35
08/23/06;18:00:01;4559;29.17;29.05;29;29.24
08/23/06;19:00:01;4967;29.07;29.2;29.05;29.27
08/24/06;13:00:01;3075;29.2;29.03;28.97;29.33
08/24/06;14:00:01;5364;29.03;28.9;28.82;29.04
08/24/06;15:00:01;4201;28.9;28.97;28.84;29.04
08/24/06;16:00:01;3430;28.97;28.98;28.83;29.02
08/24/06;17:00:01;4700;28.99;28.89;28.84;29.02
08/24/06;18:00:01;4764;28.91;28.97;28.86;28.99
08/24/06;19:00:01;5045;28.97;28.95;28.89;29
08/25/06;13:00:01;2516;28.95;28.85;28.7;28.96
08/25/06;14:00:01;4589;28.86;29.03;28.83;29.08
08/25/06;15:00:01;3411;29.04;29.02;28.92;29.06
08/25/06;16:00:01;2713;29.02;29.03;28.96;29.07
08/25/06;17:00:01;3002;29.04;28.93;28.89;29.07
08/25/06;18:00:01;3351;28.93;28.97;28.9;29.02
08/25/06;19:00:01;4311;28.97;28.95;28.87;29.01
08/28/06;13:00:01;1662;28.95;29.1;28.92;29.16
08/28/06;14:00:01;3746;29.09;29.18;29.08;29.3
08/28/06;15:00:01;3144;29.18;29.34;29.16;29.41
08/28/06;16:00:01;3439;29.35;29.41;29.31;29.46
08/28/06;17:00:01;3306;29.42;29.44;29.35;29.44
08/28/06;18:00:01;3236;29.44;29.43;29.34;29.46
08/28/06;19:00:01;3978;29.43;29.39;29.31;29.46
08/29/06;13:00:01;2329;29.39;29.53;29.26;29.53
08/29/06;14:00:01;4082;29.5;29.3;29.21;29.53
08/29/06;15:00:01;3949;29.29;29.1;29.06;29.33
08/29/06;16:00:01;2717;29.1;29.05;29.02;29.13
08/29/06;17:00:01;3294;29.05;29.06;29.01;29.14
08/29/06;18:00:01;4461;29.07;29.08;28.99;29.17
08/29/06;19:00:01;5004;29.08;29.1;29.04;29.2
08/30/06;13:00:01;2165;29.1;29.35;29.09;29.42
08/30/06;14:00:01;4360;29.35;29.4;29.34;29.54
08/30/06;15:00:01;3501;29.41;29.39;29.33;29.44
08/30/06;16:00:01;3255;29.41;29.41;29.37;29.49
