DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09/13/07;13:00:01;602;522.65;525.63;521.36;527.48
09/13/07;14:00:01;583;525.63;524.82;522.47;526.16
09/13/07;15:00:01;1601;523.95;527.07;523.84;528.18
09/14/07;09:00:01;35;527.07;524.79;524.77;527.09
09/14/07;10:00:01;76;524.78;525.09;524.76;525.11
09/14/07;11:00:01;83;525.09;523.68;523.67;525.81
09/14/07;12:00:01;152;526.15;524.78;523.44;526.19
09/14/07;13:00:01;2024;524.78;523.41;521.22;526.2
09/14/07;14:00:01;4432;523.41;530.29;522.65;530.87
09/14/07;15:00:01;3143;529.2;528.92;526.9;531.06
09/17/07;09:00:01;31;528.92;528.93;528.92;528.94
09/17/07;10:00:01;61;528.93;528.92;528.92;528.94
09/17/07;11:00:01;68;528.92;528.92;528.92;528.94
09/17/07;12:00:01;70;528.92;528.75;528.74;528.94
09/17/07;13:00:01;2976;528.75;526.6;525.17;530.19
09/17/07;14:00:01;3731;525.75;525.2;522.88;528.42
09/17/07;15:00:01;3460;525.2;524.78;522.95;526.99
09/18/07;09:00:01;33;524.78;525.3;524.77;525.31
09/18/07;10:00:01;57;525.3;525.8;525.29;525.81
09/18/07;11:00:01;71;525.8;525.3;525.28;525.81
09/18/07;12:00:01;298;525.3;525.3;524;526.57
09/18/07;13:00:01;1869;525.3;526.49;523.36;528.2
09/18/07;14:00:01;2396;526.49;527.49;525.04;529.23
09/18/07;15:00:01;2754;527.49;527.99;526.06;530.97
09/19/07;09:00:01;31;527.99;535.28;527.98;535.28
09/19/07;10:00:01;80;535.28;535.26;534.48;535.82
09/19/07;11:00:01;85;535.26;534.17;534.03;536.06
09/19/07;12:00:01;164;535.08;535.28;533.88;536.66
09/19/07;13:00:01;3526;535.28;542.23;533.88;543.67
09/19/07;14:00:01;5917;542.22;547.22;540.09;549.8
09/19/07;15:00:01;5732;548.14;547.4;545.58;550.7
09/20/07;09:00:01;29;547.4;546.85;546.84;547.41
09/20/07;10:00:01;70;546.85;546.84;546.01;547.49
09/20/07;11:00:01;97;546.84;546.85;545.68;546.87
09/20/07;12:00:01;156;546.85;546.84;545.49;548.23
09/20/07;13:00:01;4076;546.84;552.33;545.14;554.65
09/20/07;14:00:01;5630;552.3;552.51;549.59;555.57
09/20/07;15:00:01;3883;552.63;553.54;550.78;555.83
09/21/07;09:00:01;36;553.54;552.82;552.81;553.55
09/21/07;10:00:01;78;552.82;552.83;552.81;553.74
09/21/07;11:00:01;119;552.83;551.84;551.6;554.26
09/21/07;12:00:01;340;552.83;552.24;551.49;554.25
09/21/07;13:00:01;4535;552.24;557.06;551.42;560.22
09/21/07;14:00:01;5333;557.06;558.91;555.73;560.89
09/21/07;15:00:01;4362;558;561.68;557.78;561.84
09/24/07;09:00:01;34;561.68;560.09;560.09;561.69
09/24/07;10:00:01;72;560.09;560.09;559.52;561.25
09/24/07;11:00:01;150;560.09;560.1;558.79;561.47
09/24/07;12:00:01;419;560.1;560.1;558.68;561.53
09/24/07;13:00:01;3701;560.1;567.91;558.74;568.45
09/24/07;14:00:01;5932;567.91;568.5;566.26;572.54
09/24/07;15:00:01;4694;568.5;567.84;565.02;570.28
09/25/07;09:00:01;37;567.84;568.02;567.82;568.02
09/25/07;10:00:01;60;568.02;568.02;568;569.16
09/25/07;11:00:01;72;568.02;568.03;567.91;569.22
09/25/07;12:00:01;229;568.02;568.02;566.73;569.32
09/25/07;13:00:01;3112;568.02;564.78;562.24;569.46
09/25/07;14:00:01;5335;564.76;566.54;562.94;570.04
09/25/07;15:00:01;3965;566.54;565.45;563.7;568.1
09/26/07;13:00:01;4768;565.45;566.19;564.17;572.5
09/26/07;14:00:01;6884;566.05;567.21;562.72;569.24
09/26/07;15:00:01;5275;566.75;568;565.88;570.53
09/26/07;16:00:01;3114;568.02;569.22;566.7;570.63
09/26/07;17:00:01;3930;569.16;566.68;564.87;570.66
09/26/07;18:00:01;4133;566.68;567.68;565.3;569.95
09/26/07;19:00:01;4506;567.68;567.98;566.07;570.15
09/27/07;13:00:01;2580;567.98;567.99;566.28;572.83
09/27/07;14:00:01;4389;567.76;570.39;565.93;571.97
09/27/07;15:00:01;3549;570.39;568.59;566.79;572.06
