DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/29/08;18:00:01;22816;35.9;35.85;35.2;36.28
10/29/08;19:00:01;25220;35.86;34.92;34.73;36.7
10/30/08;13:00:01;9543;34.92;36.72;34.92;36.87
10/30/08;14:00:01;21308;36.73;36.9;36.57;37.09
10/30/08;15:00:01;18046;36.88;36.85;36.71;37.45
10/30/08;16:00:01;19486;36.86;37.37;36.82;37.6
10/30/08;17:00:01;18398;37.36;37.63;37.2;37.87
10/30/08;18:00:01;24192;37.63;38;37.62;38.15
10/30/08;19:00:01;31577;38.01;37.69;37.43;38.27
10/31/08;13:00:01;8290;37.69;37.42;37.17;37.8
10/31/08;14:00:01;20773;37.42;38.06;37.38;38.09
10/31/08;15:00:01;16940;38.07;38.52;37.93;38.57
10/31/08;16:00:01;14948;38.52;38.27;38.1;38.55
10/31/08;17:00:01;16694;38.28;38.86;38.25;39
10/31/08;18:00:01;20319;38.86;39.04;38.73;39.19
10/31/08;19:00:01;32210;39.03;38.39;38.16;39.26
11/03/08;13:00:01;449;38.39;38.28;38.26;38.39
11/03/08;14:00:01;8902;38.28;39.09;38.19;39.3
11/03/08;15:00:01;17317;39.09;38.89;38.52;39.4
11/03/08;16:00:01;12136;38.89;39.14;38.83;39.14
11/03/08;17:00:01;12553;39.13;39.02;38.97;39.33
11/03/08;18:00:01;9956;39.01;38.86;38.84;39.17
11/03/08;19:00:01;14212;38.87;38.68;38.67;38.9
11/04/08;13:00:01;482;38.68;38.6;38.59;38.68
11/04/08;14:00:01;8982;38.59;37.86;37.74;39.03
11/04/08;15:00:01;17515;37.86;38.19;37.59;38.45
11/04/08;16:00:01;17227;38.2;38.14;37.78;38.36
11/04/08;17:00:01;14740;38.13;37.72;37.65;38.14
11/04/08;18:00:01;15183;37.72;37.97;37.55;38.12
11/04/08;19:00:01;19400;37.96;37.74;37.56;37.97
11/05/08;13:00:01;447;37.74;38.06;37.72;38.07
11/05/08;14:00:01;10645;38.06;37.21;36.97;38.27
11/05/08;15:00:01;18855;37.21;37.26;37.12;37.51
11/05/08;16:00:01;19403;37.26;37.4;37.2;37.46
11/05/08;17:00:01;18097;37.4;37.05;36.58;37.41
11/05/08;18:00:01;13401;37.04;36.82;36.79;37.11
11/05/08;19:00:01;12678;36.82;36.8;36.55;36.98
11/06/08;13:00:01;435;36.8;36.75;36.74;36.82
11/06/08;14:00:01;12523;36.75;34.93;34.56;36.76
11/06/08;15:00:01;24000;34.93;34.43;34.09;35.05
11/06/08;16:00:01;17205;34.43;34.19;34.08;34.65
11/06/08;17:00:01;19856;34.17;33.8;33.65;34.25
11/06/08;18:00:01;21567;33.8;34.25;33.54;34.26
11/06/08;19:00:01;21724;34.25;34.01;33.72;34.55
11/07/08;13:00:01;446;34.01;33.97;33.97;34.02
11/07/08;14:00:01;8809;33.97;34.26;33.62;34.37
11/07/08;15:00:01;21325;34.25;34.9;34.25;34.99
11/07/08;16:00:01;19763;34.91;34.52;34.14;34.98
11/07/08;17:00:01;11930;34.5;34.7;34.37;34.79
11/07/08;18:00:01;11831;34.7;34.28;34.1;34.84
11/07/08;19:00:01;14688;34.28;34;34;34.46
11/10/08;13:00:01;467;34;34.33;34;34.33
11/10/08;14:00:01;6906;34.32;35.27;34.31;35.33
11/10/08;15:00:01;15472;35.27;35.18;35.09;35.77
11/10/08;16:00:01;11517;35.18;34.38;34.31;35.19
11/10/08;17:00:01;12325;34.38;34.13;34.02;34.73
11/10/08;18:00:01;9798;34.14;34.65;34.03;34.72
11/10/08;19:00:01;11379;34.65;34;33.96;34.68
11/11/08;14:00:01;7447;34;33.12;32.95;34
11/11/08;15:00:01;18416;33.12;32.87;32.21;33.13
11/11/08;16:00:01;12574;32.88;33.04;32.8;33.23
11/11/08;17:00:01;8650;33.04;33.03;32.63;33.06
11/11/08;18:00:01;12378;33.03;33.24;32.89;33.26
11/11/08;19:00:01;22615;33.23;33.32;33.12;33.99
