DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
12/02/09;20:00:01;6231;127.66;127.21;127.2;127.7
12/03/09;14:00:01;2629;127.21;128.27;127.19;128.29
12/03/09;15:00:01;5151;128.29;128.28;127.72;128.31
12/03/09;16:00:01;3904;128.28;128.25;128.11;128.37
12/03/09;17:00:01;3259;128.23;128.29;128.14;128.41
12/03/09;18:00:01;3354;128.29;128.12;128.05;128.37
12/03/09;19:00:01;3942;128.12;128.25;128;128.37
12/03/09;20:00:01;5960;128.25;127.41;127.23;128.47
12/04/09;14:00:01;3134;127.41;128.52;127.41;128.9
12/04/09;15:00:01;5153;128.54;128.17;128.15;128.76
12/04/09;16:00:01;6544;128.17;126.33;126;128.18
12/04/09;17:00:01;4560;126.32;127.06;126.13;127.15
12/04/09;18:00:01;3887;127.06;126.5;126.44;127.29
12/04/09;19:00:01;4892;126.53;127.01;126.38;127.1
12/04/09;20:00:01;6513;127.02;127.24;126.9;127.61
12/07/09;14:00:01;2793;127.24;127.39;126.82;127.51
12/07/09;15:00:01;4878;127.39;127.28;126.93;127.54
12/07/09;16:00:01;3211;127.28;127.23;127.14;127.36
12/07/09;17:00:01;3016;127.23;127.28;127.15;127.51
12/07/09;18:00:01;2588;127.28;127.32;127.24;127.4
12/07/09;19:00:01;3396;127.31;126.79;126.59;127.34
12/07/09;20:00:01;4592;126.8;126.99;126.74;127.25
12/08/09;14:00:01;3337;126.99;126.67;126.15;127.04
12/08/09;15:00:01;4901;126.68;126.72;126.55;127.11
12/08/09;16:00:01;4422;126.72;127.03;126.68;127.35
12/08/09;17:00:01;3407;127.03;126.99;126.73;127.13
12/08/09;18:00:01;4011;126.99;126.6;126.51;126.99
12/08/09;19:00:01;4188;126.6;126.42;126.24;126.72
12/08/09;20:00:01;5642;126.42;126.75;126.33;126.95
12/09/09;14:00:01;1975;126.75;126.91;126.11;127.06
12/09/09;15:00:01;3479;126.92;127.55;126.9;127.82
12/09/09;16:00:01;3251;127.55;127.25;127.01;127.68
12/09/09;17:00:01;3400;127.26;127.25;127.15;127.49
12/09/09;18:00:01;3367;127.25;127.32;127.06;127.43
12/09/09;19:00:01;4040;127.33;127.65;127.27;127.71
12/09/09;20:00:01;4915;127.67;128.33;127.64;128.36
12/10/09;14:00:01;3779;128.33;128.89;128.03;128.97
12/10/09;15:00:01;6439;128.89;129.02;128.57;129.24
12/10/09;16:00:01;4248;129.02;128.96;128.88;129.28
12/10/09;17:00:01;3782;128.97;129.33;128.92;129.39
12/10/09;18:00:01;3824;129.33;129.05;128.91;129.35
12/10/09;19:00:01;3901;129.05;129.33;129;129.4
12/10/09;20:00:01;5409;129.31;129.38;128.98;129.47
12/11/09;14:00:01;2877;129.38;129.31;128.91;129.48
12/11/09;15:00:01;5574;129.31;129.47;129.21;129.58
12/11/09;16:00:01;4750;129.49;129.25;129.01;129.53
12/11/09;17:00:01;4135;129.24;129.19;129.01;129.42
12/11/09;18:00:01;3774;129.19;129.4;129.03;129.43
12/11/09;19:00:01;4866;129.42;129.45;129.37;129.75
12/11/09;20:00:01;6516;129.43;129.77;129.34;129.79
12/14/09;14:00:01;3198;129.77;129.89;129.58;129.94
12/14/09;15:00:01;4742;129.85;129.89;129.66;129.93
12/14/09;16:00:01;4593;129.89;129.77;129.69;129.96
12/14/09;17:00:01;3428;129.76;129.79;129.76;129.92
12/14/09;18:00:01;3793;129.79;129.88;129.62;129.92
12/14/09;19:00:01;3877;129.88;129.87;129.74;129.95
12/14/09;20:00:01;5638;129.87;129.95;129.8;130
12/15/09;14:00:01;3466;129.95;129.5;129.29;129.95
12/15/09;15:00:01;5871;129.47;129.78;129.24;129.87
12/15/09;16:00:01;4868;129.79;129.08;129.08;129.83
12/15/09;17:00:01;4311;129.08;128.66;128.49;129.14
12/15/09;18:00:01;3897;128.66;128.29;128.28;128.82
12/15/09;19:00:01;4361;128.28;128.35;128.28;128.55
12/15/09;20:00:01;6471;128.33;128.48;127.94;128.51
12/16/09;14:00:01;2943;128.48;129.22;128.48;129.26
12/16/09;15:00:01;4260;129.24;129.35;129.13;129.55
12/16/09;16:00:01;3551;129.36;129.21;129.19;129.61
12/16/09;17:00:01;3826;129.21;128.91;128.89;129.28
12/16/09;18:00:01;3476;128.91;128.86;128.73;129.07
12/16/09;19:00:01;5732;128.86;128.56;128.49;129
12/16/09;20:00:01;6574;128.53;128.79;128.36;128.94
12/17/09;14:00:01;2186;128.79;128.01;127.74;128.79
12/17/09;15:00:01;3742;128.01;127.97;127.75;128.46
12/17/09;16:00:01;3143;128;127.61;127.33;128.11
12/17/09;17:00:01;4035;127.62;127.38;127.11;127.75
12/17/09;18:00:01;3516;127.4;127.78;127.37;127.83
12/17/09;19:00:01;3471;127.78;127.96;127.77;128.23
12/17/09;20:00:01;5970;127.98;127.45;127.35;128.06
12/18/09;14:00:01;2915;127.45;128.18;127.4;128.41
12/18/09;15:00:01;5600;128.15;127.63;127.48;128.38
12/18/09;16:00:01;4273;127.63;127.3;127;127.7
12/18/09;17:00:01;3735;127.3;127.47;127.17;127.49
12/18/09;18:00:01;3999;127.47;127.59;127.39;127.84
12/18/09;19:00:01;3944;127.59;127.83;127.54;127.87
12/18/09;20:00:01;6332;127.83;127.98;127.43;128.03
12/21/09;14:00:01;2286;127.98;128.4;127.76;128.91
12/21/09;15:00:01;4247;128.36;128.59;128.33;128.83
12/21/09;16:00:01;3556;128.59;128.82;128.43;128.87
12/21/09;17:00:01;4000;128.82;128.8;128.62;128.94
12/21/09;18:00:01;3195;128.8;128.73;128.56;128.85
12/21/09;19:00:01;3322;128.74;128.73;128.63;128.81
12/21/09;20:00:01;4925;128.74;128.68;128.59;128.8
12/22/09;14:00:01;2489;128.68;129.37;128.68;129.51
12/22/09;15:00:01;4455;129.38;129.45;129.29;129.69
12/22/09;16:00:01;3670;129.43;129.61;129.23;129.61
12/22/09;17:00:01;3012;129.61;129.89;129.57;129.92
12/22/09;18:00:01;3639;129.87;129.94;129.85;129.99
12/22/09;19:00:01;3345;129.94;129.93;129.85;130
12/22/09;20:00:01;5491;129.94;129.96;129.85;130
12/23/09;14:00:01;2458;129.96;129.79;129.57;129.97
12/23/09;15:00:01;4309;129.79;129.65;129.3;129.8
12/23/09;16:00:01;3123;129.65;129.9;129.55;129.97
12/23/09;17:00:01;2774;129.9;129.93;129.8;129.98
12/23/09;18:00:01;2937;129.93;129.86;129.81;129.97
12/23/09;19:00:01;3090;129.89;129.93;129.85;130.01
12/23/09;20:00:01;4336;129.97;129.99;129.9;130.02
12/24/09;14:00:01;2666;129.99;129.98;129.81;130.02
12/24/09;15:00:01;5857;129.98;129.78;129.48;130.04
12/24/09;16:00:01;4038;129.79;130.37;129.71;130.38
12/24/09;17:00:01;4526;130.39;130.57;130.13;130.57
12/24/09;18:00:01;916;130.57;130.6;130.54;130.61
12/24/09;19:00:01;903;130.6;130.58;130.56;130.61
12/24/09;20:00:01;896;130.57;130.56;130.55;130.58
12/25/09;14:00:01;467;130.56;130.55;130.55;130.57
12/25/09;15:00:01;932;130.55;130.57;130.55;130.57
12/25/09;16:00:01;922;130.57;130.57;130.55;130.57
12/25/09;17:00:01;905;130.57;130.56;130.55;130.57
12/25/09;18:00:01;912;130.56;130.56;130.55;130.57
12/25/09;19:00:01;894;130.57;130.56;130.55;130.57
12/25/09;20:00:01;891;130.57;130.55;130.55;130.57
12/28/09;14:00:01;2141;130.55;131.46;130.55;131.55
12/28/09;15:00:01;4174;131.46;131.87;131.4;131.91
12/28/09;16:00:01;3092;131.86;131.82;131.79;131.98
12/28/09;17:00:01;2870;131.82;131.89;131.74;131.92
