DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09/20/07;11:00:01;1356;50.16;50.17;50.14;50.2
09/20/07;12:00:01;5859;50.17;50.17;50.15;50.19
09/20/07;13:00:01;7147;50.17;50.13;49.96;50.2
09/20/07;14:00:01;9588;50.14;50.14;50.08;50.27
09/20/07;15:00:01;9628;50.14;50.13;50.06;50.27
09/21/07;09:00:01;638;50.13;50.03;50;50.13
09/21/07;10:00:01;1199;50.03;50.03;50;50.05
09/21/07;11:00:01;1323;50.03;50.03;50.01;50.06
09/21/07;12:00:01;2492;50.03;50.02;50;50.05
09/21/07;13:00:01;7321;50.03;50.23;50.01;50.36
09/21/07;14:00:01;9731;50.23;50.37;50.22;50.39
09/21/07;15:00:01;9868;50.37;50.47;50.32;50.52
09/24/07;09:00:01;311;50.47;50.35;50.33;50.47
09/24/07;10:00:01;748;50.35;50.35;50.34;50.39
09/24/07;11:00:01;1117;50.36;50.35;50.33;50.38
09/24/07;12:00:01;1264;50.36;50.36;50.33;50.39
09/24/07;13:00:01;6434;50.36;50.47;50.34;50.61
09/24/07;14:00:01;9290;50.47;50.9;50.44;50.97
09/24/07;15:00:01;9102;50.9;50.85;50.8;50.95
09/25/07;09:00:01;373;50.85;50.61;50.56;50.87
09/25/07;10:00:01;948;50.61;50.59;50.56;50.62
09/25/07;11:00:01;1304;50.59;50.59;50.57;50.62
09/25/07;12:00:01;1769;50.59;50.59;50.56;50.62
09/25/07;13:00:01;9857;50.59;50.51;50.36;50.61
09/25/07;14:00:01;14108;50.51;50.72;50.4;50.76
09/25/07;15:00:01;11674;50.72;50.72;50.63;50.85
09/26/07;13:00:01;8040;50.72;51.26;50.72;51.39
09/26/07;14:00:01;15407;51.26;51.28;51.18;51.37
09/26/07;15:00:01;12902;51.28;51.42;51.27;51.52
09/26/07;16:00:01;8691;51.42;51.41;51.38;51.47
09/26/07;17:00:01;12401;51.41;51.16;51.13;51.51
09/26/07;18:00:01;13929;51.17;51.22;51.11;51.3
09/26/07;19:00:01;14685;51.22;51.34;51.22;51.44
09/27/07;13:00:01;6960;51.34;51.46;51.32;51.64
09/27/07;14:00:01;13418;51.46;51.61;51.36;51.62
09/27/07;15:00:01;11883;51.6;51.46;51.4;51.61
09/27/07;16:00:01;9468;51.45;51.51;51.42;51.55
09/27/07;17:00:01;5022;51.5;51.49;51.4;51.58
09/27/07;18:00:01;10125;51.49;51.5;51.46;51.6
09/27/07;19:00:01;13918;51.5;51.52;51.46;51.59
09/28/07;13:00:01;8241;51.52;51.63;51.51;51.69
09/28/07;14:00:01;14976;51.63;51.43;51.32;51.69
09/28/07;15:00:01;11556;51.42;51.41;51.35;51.47
09/28/07;16:00:01;8154;51.41;51.42;51.33;51.45
09/28/07;17:00:01;9349;51.41;51.49;51.38;51.52
09/28/07;18:00:01;11220;51.5;51.32;51.26;51.54
09/28/07;19:00:01;16118;51.33;51.42;51.17;51.42
10/01/07;13:00:01;8543;51.42;51.56;51.42;51.65
10/01/07;14:00:01;12558;51.56;51.58;51.5;51.67
10/01/07;15:00:01;8039;51.57;51.82;51.53;51.83
10/01/07;16:00:01;8332;51.82;51.86;51.77;51.94
10/01/07;17:00:01;8794;51.86;51.97;51.85;52.04
10/01/07;18:00:01;9642;51.98;52.1;51.97;52.17
10/01/07;19:00:01;8680;52.1;52.03;51.87;52.15
10/02/07;13:00:01;4831;52.03;51.89;51.87;52.06
10/02/07;14:00:01;10442;51.89;51.84;51.77;52.04
10/02/07;15:00:01;9101;51.84;51.91;51.72;51.92
10/02/07;16:00:01;8251;51.91;51.84;51.73;51.92
10/02/07;17:00:01;8610;51.84;51.88;51.75;51.9
10/02/07;18:00:01;9592;51.88;51.93;51.84;52.01
10/02/07;19:00:01;9268;51.94;52.03;51.85;52.03
10/03/07;13:00:01;4817;52.03;51.67;51.65;52.03
10/03/07;14:00:01;8240;51.66;51.98;51.65;51.99
