DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/28/08;18:00:01;34167;52.44;54.06;52.4;54.45
10/28/08;19:00:01;40916;54.07;55.04;54.02;55.72
10/29/08;13:00:01;13140;55.04;54.06;53.55;55.17
10/29/08;14:00:01;27062;54.04;54.67;53.7;54.98
10/29/08;15:00:01;20754;54.67;55.25;54.51;55.42
10/29/08;16:00:01;17781;55.25;55.38;55.05;55.61
10/29/08;17:00:01;20080;55.38;55.44;55.13;55.84
10/29/08;18:00:01;30293;55.44;55.02;54.24;55.61
10/29/08;19:00:01;29389;55;54.61;54.47;56.8
10/30/08;13:00:01;11829;54.61;55.4;54.6;56.01
10/30/08;14:00:01;29261;55.4;54.85;54.46;55.47
10/30/08;15:00:01;25293;54.85;54.15;53.99;55.13
10/30/08;16:00:01;19240;54.15;54.22;54.05;54.55
10/30/08;17:00:01;18479;54.21;54.29;53.92;54.51
10/30/08;18:00:01;25374;54.29;54.41;54.21;55.01
10/30/08;19:00:01;33521;54.41;54.79;53.81;55.01
10/31/08;13:00:01;12719;54.79;54.75;54.51;55.33
10/31/08;14:00:01;23536;54.75;54.6;54.25;54.93
10/31/08;15:00:01;22332;54.6;55.61;54.55;55.96
10/31/08;16:00:01;20537;55.62;55.86;55.56;55.87
10/31/08;17:00:01;21192;55.86;56.21;55.83;56.77
10/31/08;18:00:01;25299;56.22;56.44;56.11;56.69
10/31/08;19:00:01;34483;56.45;55.88;55.08;56.74
11/03/08;13:00:01;459;55.88;55.8;55.78;55.88
11/03/08;14:00:01;12817;55.8;56.44;55.77;56.77
11/03/08;15:00:01;25133;56.44;56.96;56.06;57.2
11/03/08;16:00:01;18229;56.96;56.98;56.64;57.2
11/03/08;17:00:01;16117;56.99;56.62;56.49;57.04
11/03/08;18:00:01;15336;56.62;56.03;55.94;56.71
11/03/08;19:00:01;17335;56.05;56;55.93;56.28
11/04/08;13:00:01;484;56;55.98;55.95;56
11/04/08;14:00:01;11892;55.99;56.11;55.95;57.24
11/04/08;15:00:01;22943;56.12;56.12;55.56;56.5
11/04/08;16:00:01;20060;56.11;56.51;56.11;56.63
11/04/08;17:00:01;14839;56.51;56.56;56.31;56.77
11/04/08;18:00:01;12732;56.57;56.41;56.38;56.67
11/04/08;19:00:01;19728;56.41;55.99;55.79;56.44
11/05/08;13:00:01;453;55.99;56.12;55.98;56.15
11/05/08;14:00:01;14703;56.13;55.14;54.87;56.15
11/05/08;15:00:01;22623;55.14;55.3;55.05;55.95
11/05/08;16:00:01;20124;55.3;55.09;55.01;55.44
11/05/08;17:00:01;16989;55.09;54.64;54.36;55.22
11/05/08;18:00:01;14800;54.63;54.56;54.52;55.07
11/05/08;19:00:01;12092;54.57;54.8;54.33;54.86
11/06/08;13:00:01;506;54.8;54.13;54.09;54.8
11/06/08;14:00:01;17516;54.13;55.85;54.11;56.35
11/06/08;15:00:01;29563;55.83;54.65;54.24;55.91
11/06/08;16:00:01;23403;54.65;54.5;54.39;55.19
11/06/08;17:00:01;24143;54.52;54.44;54.17;54.82
11/06/08;18:00:01;26771;54.44;53.76;53.5;54.54
11/06/08;19:00:01;31795;53.76;53.82;53.54;54.21
11/07/08;13:00:01;488;53.82;53.5;53.46;53.83
11/07/08;14:00:01;13621;53.5;53.6;53.39;54.17
11/07/08;15:00:01;30615;53.6;54.12;53.56;54.43
11/07/08;16:00:01;25619;54.12;54.44;53.86;54.47
11/07/08;17:00:01;16680;54.43;54.48;54.35;54.71
11/07/08;18:00:01;15348;54.5;54.27;54.03;54.64
11/07/08;19:00:01;18112;54.27;53.94;53.94;54.62
11/10/08;13:00:01;440;53.94;54.4;53.93;54.41
11/10/08;14:00:01;7782;54.41;54.8;54.35;55.23
11/10/08;15:00:01;16651;54.8;55;54.57;55.19
11/10/08;16:00:01;13777;54.99;54.74;54.7;55.59
11/10/08;17:00:01;13109;54.79;54.61;54.35;55
11/10/08;18:00:01;9713;54.61;55.19;54.38;55.3
11/10/08;19:00:01;11307;55.21;54.85;54.72;55.73
11/11/08;14:00:01;10498;54.85;54.29;54.19;55.24
11/11/08;15:00:01;18260;54.29;53.79;53.61;54.44
11/11/08;16:00:01;18351;53.79;53.74;53.12;54.01
11/11/08;17:00:01;13193;53.74;54;53.53;54.02
11/11/08;18:00:01;16397;53.99;54.9;53.83;55
11/11/08;19:00:01;26571;54.89;54.62;54.54;55.64
11/11/08;20:00:01;28528;54.61;54.81;54.26;55.44
11/12/08;14:00:01;15269;54.81;54.17;52.86;54.81
11/12/08;15:00:01;24847;54.16;53.58;53.15;54.3
11/12/08;16:00:01;19069;53.58;53.26;52.92;53.63
11/12/08;17:00:01;14419;53.26;53.87;53.12;53.93
11/12/08;18:00:01;15544;53.88;53.04;52.93;53.96
11/12/08;19:00:01;19849;53.04;53.05;52.9;53.3
11/12/08;20:00:01;31167;53.05;52.69;52.31;53.14
11/13/08;14:00:01;17629;52.69;51.38;51.2;53.47
11/13/08;15:00:01;27469;51.39;52.33;51.33;52.86
11/13/08;16:00:01;21122;52.31;52;51.8;52.46
11/13/08;17:00:01;20461;51.98;51.45;51.44;52.3
11/13/08;18:00:01;28158;51.43;52.56;51.05;53.01
11/13/08;19:00:01;26140;52.56;53.94;52.48;54.28
11/13/08;20:00:01;34459;53.92;54.89;53.38;54.94
11/14/08;14:00:01;16191;54.89;54.83;53.75;55.1
11/14/08;15:00:01;30721;54.83;53.61;53.55;54.98
11/14/08;16:00:01;21579;53.61;53.38;52.99;53.78
11/14/08;17:00:01;20495;53.38;53.61;53.1;53.81
11/14/08;18:00:01;21938;53.61;53.72;53.39;54
11/14/08;19:00:01;29357;53.7;54.55;53.6;54.63
11/14/08;20:00:01;31522;54.55;52.63;52.62;54.62
11/17/08;14:00:01;13427;52.63;52.3;51.97;53.05
11/17/08;15:00:01;28594;52.3;51.31;51.18;52.34
11/17/08;16:00:01;18011;51.34;52.08;51.27;52.22
11/17/08;17:00:01;18971;52.08;52.24;51.92;52.54
11/17/08;18:00:01;16282;52.25;52.23;51.7;52.28
11/17/08;19:00:01;20666;52.23;52.28;51.93;52.71
11/17/08;20:00:01;26127;52.28;51.77;51.73;53
11/18/08;14:00:01;12775;51.77;52.29;51.5;52.9
11/18/08;15:00:01;22671;52.3;52.99;52.13;53.56
11/18/08;16:00:01;19111;52.99;53.15;52.65;53.2
11/18/08;17:00:01;17706;53.12;52.52;52.29;53.23
11/18/08;18:00:01;20297;52.52;51.9;51.43;52.53
11/18/08;19:00:01;21878;51.9;51.01;50.98;51.96
