DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09/26/07;15:00:01;7451;91.94;92.39;91.67;92.44
09/26/07;16:00:01;7099;92.37;92.06;91.95;92.45
09/26/07;17:00:01;7472;92.06;91.7;91.59;92.19
09/26/07;18:00:01;8384;91.69;92.26;91.69;92.46
09/26/07;19:00:01;9798;92.27;92.41;92.21;92.55
09/27/07;13:00:01;5130;92.41;92.73;92.37;93.12
09/27/07;14:00:01;7108;92.7;92.83;92.68;93.1
09/27/07;15:00:01;6856;92.82;92.48;92.45;93.07
09/27/07;16:00:01;6160;92.48;92.6;92.42;92.78
09/27/07;17:00:01;4247;92.6;93.08;92.55;93.11
09/27/07;18:00:01;6815;93.08;92.89;92.81;93.29
09/27/07;19:00:01;8985;92.87;93;92.86;93.16
09/28/07;13:00:01;5270;93;93.53;92.9;93.59
09/28/07;14:00:01;9118;93.53;93.29;92.9;93.67
09/28/07;15:00:01;6910;93.3;93.17;93.11;93.37
09/28/07;16:00:01;6851;93.17;92.94;92.61;93.21
09/28/07;17:00:01;5815;92.94;93.22;92.89;93.23
09/28/07;18:00:01;7567;93.22;92.61;92.5;93.26
09/28/07;19:00:01;9792;92.61;92.54;92.15;92.63
10/01/07;13:00:01;5227;92.54;92.55;92.21;92.95
10/01/07;14:00:01;8393;92.55;93.12;92.41;93.12
10/01/07;15:00:01;7110;93.11;93.47;93.04;93.51
10/01/07;16:00:01;7489;93.47;93.31;93.03;93.51
10/01/07;17:00:01;6109;93.31;93.67;93.24;93.76
10/01/07;18:00:01;5781;93.68;93.83;93.58;93.92
10/01/07;19:00:01;6205;93.82;93.97;93.68;93.99
10/02/07;13:00:01;3326;93.97;92.69;92.66;93.98
10/02/07;14:00:01;6937;92.69;91.85;91.46;92.71
10/02/07;15:00:01;6744;91.85;91.75;91.3;91.86
10/02/07;16:00:01;6530;91.75;91.54;91.51;91.87
10/02/07;17:00:01;6372;91.55;91.76;91.37;91.89
10/02/07;18:00:01;7042;91.76;92.17;91.59;92.26
10/02/07;19:00:01;6993;92.17;92.23;91.99;92.34
10/03/07;13:00:01;3186;92.23;90.83;90.72;92.24
10/03/07;14:00:01;6669;90.81;91.08;90.71;91.15
10/03/07;15:00:01;6095;91.08;91.22;91;91.57
10/03/07;16:00:01;5416;91.22;91.46;91.18;91.49
10/03/07;17:00:01;6269;91.46;91.34;91.12;91.54
10/03/07;18:00:01;6656;91.34;91.26;91.01;91.34
10/03/07;19:00:01;5848;91.26;91.27;91.13;91.47
10/04/07;13:00:01;3444;91.27;90.83;90.81;91.56
10/04/07;14:00:01;6608;90.83;90.64;90.34;90.88
10/04/07;15:00:01;5322;90.63;90.45;90.36;90.91
10/04/07;16:00:01;7267;90.44;90.71;90.38;90.8
10/04/07;17:00:01;7473;90.69;90.54;90.49;90.73
10/04/07;18:00:01;7463;90.55;90.84;90.54;90.87
10/04/07;19:00:01;7433;90.85;91;90.8;91.03
10/05/07;13:00:01;2631;91;91.01;90.85;91.41
10/05/07;14:00:01;5866;91.01;91.02;90.64;91.06
10/05/07;15:00:01;5674;91.01;90.9;90.75;91.3
10/05/07;16:00:01;4938;90.9;90.84;90.8;91.01
10/05/07;17:00:01;5755;90.84;91.08;90.64;91.27
10/05/07;18:00:01;6747;91.06;91.49;91.02;91.61
10/05/07;19:00:01;6078;91.49;91.29;91.26;91.65
10/08/07;13:00:01;3205;91.29;90.4;90.32;91.37
10/08/07;14:00:01;5942;90.39;90.49;90.22;90.57
10/08/07;15:00:01;5684;90.47;90.39;90.26;90.58
10/08/07;16:00:01;4375;90.39;90.38;90.26;90.45
10/08/07;17:00:01;4612;90.39;90.25;90.23;90.46
10/08/07;18:00:01;5449;90.25;90.24;90.16;90.44
10/08/07;19:00:01;6094;90.24;90.65;90.23;90.66
10/09/07;13:00:01;2355;90.65;91.66;90.65;91.81
10/09/07;14:00:01;4708;91.67;92.11;91.35;92.13
10/09/07;15:00:01;5001;92.13;92.32;92.05;92.37
10/09/07;16:00:01;4934;92.32;92.19;91.88;92.39
10/09/07;17:00:01;5499;92.18;91.87;91.83;92.34
10/09/07;18:00:01;5057;91.87;92.45;91.8;92.49
10/09/07;19:00:01;5071;92.43;92.61;92.35;92.79
10/10/07;13:00:01;2838;92.61;91.8;91.57;92.7
10/10/07;14:00:01;4908;91.81;91.86;91.71;92
10/10/07;15:00:01;4646;91.85;92.31;91.85;92.48
10/10/07;16:00:01;4038;92.31;92.37;92.21;92.55
10/10/07;17:00:01;4708;92.37;92.37;92.17;92.41
10/10/07;18:00:01;5675;92.39;93.39;92.34;93.48
10/10/07;19:00:01;5765;93.38;93;92.89;93.68
10/11/07;13:00:01;2560;93;93.56;93;93.88
10/11/07;14:00:01;5105;93.57;93.66;93.3;93.87
10/11/07;15:00:01;4313;93.66;93.78;93.47;93.9
10/11/07;16:00:01;4769;93.78;94.08;93.78;94.19
10/11/07;17:00:01;5547;94.08;93.66;93.64;94.25
10/11/07;18:00:01;5293;93.66;93.06;92.53;93.66
10/11/07;19:00:01;5200;93.08;92.73;91.88;93.1
10/12/07;13:00:01;2781;92.73;93.21;92.66;93.48
10/12/07;14:00:01;5609;93.18;93.4;93;93.67
10/12/07;15:00:01;5406;93.39;93.51;93.24;93.7
10/12/07;16:00:01;6307;93.51;93.56;93.41;93.8
10/12/07;17:00:01;6296;93.55;93.51;93.31;93.66
10/12/07;18:00:01;6478;93.5;93.48;93.42;93.84
10/12/07;19:00:01;5758;93.48;93.47;93.23;93.53
10/15/07;13:00:01;2859;93.47;94.74;93.46;94.74
10/15/07;14:00:01;7049;94.74;94.62;94.55;95.01
10/15/07;15:00:01;6798;94.64;94.93;94.4;94.96
10/15/07;16:00:01;8077;94.94;94.71;94.63;95.1
10/15/07;17:00:01;8432;94.72;94.76;94.45;94.94
10/15/07;18:00:01;7679;94.76;94.92;94.4;95.07
10/15/07;19:00:01;6374;94.94;94.87;94.61;95.17
10/16/07;13:00:01;2759;94.87;95.02;94.52;95.1
10/16/07;14:00:01;5817;95.03;94.99;94.47;95.09
10/16/07;15:00:01;6128;94.99;94.83;94.76;95.11
10/16/07;16:00:01;6042;94.83;95.02;94.75;95.11
