DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03/19/10;18:10:01;635;33.62;33.6;33.57;33.64
03/19/10;18:20:01;882;33.6;33.64;33.57;33.65
03/19/10;18:30:01;726;33.64;33.63;33.59;33.67
03/19/10;18:40:01;720;33.63;33.61;33.59;33.64
03/19/10;18:50:01;761;33.6;33.59;33.57;33.63
03/19/10;19:00:01;789;33.59;33.66;33.57;33.66
03/19/10;19:10:01;751;33.65;33.67;33.62;33.68
03/19/10;19:20:01;728;33.67;33.68;33.63;33.69
03/19/10;19:30:01;886;33.68;33.57;33.56;33.68
03/19/10;19:40:01;988;33.58;33.58;33.52;33.61
03/19/10;19:50:01;829;33.58;33.61;33.56;33.62
03/19/10;20:00:01;203;33.61;33.64;33.59;33.67
03/19/10;20:10:01;174;33.64;33.63;33.61;33.66
03/19/10;20:20:01;173;33.64;33.65;33.62;33.67
03/19/10;20:30:01;169;33.64;33.63;33.62;33.66
03/19/10;20:40:01;154;33.64;33.63;33.62;33.66
03/19/10;20:50:01;162;33.63;33.65;33.62;33.65
03/22/10;14:30:01;1311;33.69;33.88;33.69;33.9
03/22/10;14:40:01;1115;33.88;33.95;33.86;33.97
03/22/10;14:50:01;1498;33.94;33.96;33.93;34
03/22/10;15:00:01;1624;33.97;33.93;33.92;34
03/22/10;15:10:01;1036;33.93;33.93;33.91;33.97
03/22/10;15:20:01;1189;33.96;33.95;33.92;33.98
03/22/10;15:30:01;1385;33.94;33.95;33.93;34.01
03/22/10;15:40:01;1155;33.94;33.96;33.93;34
03/22/10;15:50:01;1062;33.95;33.98;33.92;34
03/22/10;16:00:01;1114;33.98;33.99;33.95;34.01
03/22/10;16:10:01;905;33.99;34.01;33.96;34.01
03/22/10;16:20:01;1252;33.99;34;33.96;34.04
03/22/10;16:30:01;1328;34.01;33.99;33.96;34.02
03/22/10;16:40:01;967;33.99;34.02;33.96;34.07
03/22/10;16:50:01;943;34.02;34.06;33.99;34.09
03/22/10;17:00:01;1254;34.06;34.14;34.06;34.15
03/22/10;17:10:01;769;34.12;34.15;34.11;34.17
03/22/10;17:20:01;885;34.15;34.1;34.08;34.21
03/22/10;17:30:01;783;34.1;34.09;34.08;34.14
03/22/10;17:40:01;794;34.1;34.07;34.04;34.11
03/22/10;17:50:01;757;34.06;34.01;34.01;34.08
03/22/10;18:00:01;1013;34.01;34.02;33.98;34.05
03/22/10;18:10:01;1033;34.03;34;33.97;34.04
03/22/10;18:20:01;1023;33.99;34.01;33.98;34.05
03/22/10;18:30:01;1039;34;34.06;34;34.07
03/22/10;18:40:01;1101;34.07;34.07;34.01;34.12
03/22/10;18:50:01;1073;34.07;34.03;34.01;34.09
03/22/10;19:00:01;1223;34.05;34.04;34;34.07
03/22/10;19:10:01;1242;34.03;34.09;34.02;34.1
03/22/10;19:20:01;1116;34.08;34.03;34.02;34.11
03/22/10;19:30:01;1210;34.03;34.01;33.99;34.04
03/22/10;19:40:01;1650;34.03;34;33.96;34.03
03/22/10;19:50:01;1872;34;33.95;33.93;34.01
03/22/10;20:00:01;184;33.95;33.95;33.93;33.97
03/22/10;20:10:01;173;33.96;33.96;33.93;33.97
03/22/10;20:20:01;161;33.96;33.96;33.92;33.97
03/22/10;20:30:01;145;33.95;33.94;33.93;33.96
03/22/10;20:40:01;142;33.94;33.95;33.93;33.97
03/22/10;20:50:01;170;33.95;33.95;33.93;33.98
03/23/10;14:30:01;1181;33.95;33.91;33.84;33.98
03/23/10;14:40:01;1401;33.91;33.9;33.87;33.96
03/23/10;14:50:01;1386;33.9;33.8;33.78;33.96
03/23/10;15:00:01;1489;33.81;33.77;33.73;33.83
03/23/10;15:10:01;1257;33.77;33.82;33.75;33.85
03/23/10;15:20:01;1121;33.81;33.81;33.77;33.83
03/23/10;15:30:01;1673;33.82;33.96;33.81;33.96
03/23/10;15:40:01;1451;33.96;33.99;33.92;34.01
03/23/10;15:50:01;1000;34;34.04;33.97;34.06
03/23/10;16:00:01;1158;34.04;34.02;33.97;34.07
03/23/10;16:10:01;1319;34.02;34.01;33.99;34.07
03/23/10;16:20:01;929;34.01;34.04;34;34.06
03/23/10;16:30:01;1191;34.04;34.04;34;34.07
03/23/10;16:40:01;921;34.04;33.99;33.96;34.06
03/23/10;16:50:01;908;33.98;33.98;33.96;34.04
03/23/10;17:00:01;805;33.99;33.99;33.94;34.01
03/23/10;17:10:01;982;33.99;33.98;33.96;34.02
03/23/10;17:20:01;1135;33.98;33.99;33.97;34.04
03/23/10;17:30:01;795;33.99;33.99;33.96;34.03
03/23/10;17:40:01;986;34;33.95;33.91;34.02
03/23/10;17:50:01;1280;33.96;33.92;33.9;34
03/23/10;18:00:01;752;33.9;33.96;33.9;33.99
03/23/10;18:10:01;775;33.96;33.98;33.95;34
03/23/10;18:20:01;896;33.97;33.99;33.96;34.01
03/23/10;18:30:01;977;33.98;33.98;33.96;34
03/23/10;18:40:01;933;33.98;33.96;33.94;34.01
03/23/10;18:50:01;1064;33.96;33.96;33.91;33.98
03/23/10;19:00:01;1295;33.96;33.97;33.92;34.01
03/23/10;19:10:01;1463;33.97;33.96;33.94;34.01
03/23/10;19:20:01;1054;33.96;33.98;33.95;34
03/23/10;19:30:01;1383;33.98;33.99;33.95;34.02
03/23/10;19:40:01;1379;34;33.98;33.96;34.02
03/23/10;19:50:01;1813;33.98;34.02;33.97;34.04
03/23/10;20:00:01;178;34.03;34.02;33.99;34.04
