DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/21/10;17:30:01;1243;27.77;27.74;27.72;27.83
10/21/10;17:40:01;1638;27.76;27.64;27.64;27.83
10/21/10;17:50:01;1940;27.64;27.57;27.52;27.68
10/21/10;18:00:01;1698;27.57;27.63;27.5;27.69
10/21/10;18:10:01;1487;27.63;27.6;27.47;27.67
10/21/10;18:20:01;1816;27.6;27.38;27.37;27.62
10/21/10;18:30:01;2076;27.37;27.31;27.22;27.5
10/21/10;18:40:01;1279;27.31;27.34;27.28;27.42
10/21/10;18:50:01;1284;27.34;27.41;27.32;27.44
10/21/10;19:00:01;1688;27.39;27.47;27.39;27.55
10/21/10;19:10:01;1858;27.47;27.47;27.45;27.6
10/21/10;19:20:01;2212;27.47;27.45;27.37;27.5
10/21/10;19:30:01;2333;27.45;27.36;27.36;27.51
10/21/10;19:40:01;2400;27.38;27.29;27.18;27.41
10/21/10;19:50:01;3138;27.29;27.19;27.16;27.29
10/22/10;13:30:01;2061;27.18;27.39;27.18;27.41
10/22/10;13:40:01;2298;27.39;27.59;27.35;27.63
10/22/10;13:50:01;1724;27.59;27.5;27.45;27.61
10/22/10;14:00:01;1164;27.5;27.56;27.47;27.59
10/22/10;14:10:01;1385;27.56;27.56;27.47;27.6
10/22/10;14:20:01;1439;27.55;27.58;27.52;27.62
10/22/10;14:30:01;1232;27.58;27.55;27.52;27.62
10/22/10;14:40:01;1035;27.55;27.63;27.52;27.64
10/22/10;14:50:01;1139;27.63;27.62;27.59;27.7
10/22/10;15:00:01;1195;27.62;27.55;27.54;27.69
10/22/10;15:10:01;1334;27.55;27.58;27.48;27.61
10/22/10;15:20:01;1229;27.57;27.69;27.52;27.69
10/22/10;15:30:01;968;27.68;27.73;27.65;27.77
10/22/10;15:40:01;826;27.74;27.71;27.67;27.78
10/22/10;15:50:01;1090;27.7;27.75;27.65;27.78
10/22/10;16:00:01;1142;27.78;27.84;27.7;27.87
10/22/10;16:10:01;1087;27.87;27.73;27.71;27.87
10/22/10;16:20:01;681;27.73;27.78;27.7;27.81
10/22/10;16:30:01;996;27.75;27.69;27.65;27.8
10/22/10;16:40:01;756;27.7;27.75;27.64;27.78
10/22/10;16:50:01;630;27.74;27.8;27.7;27.81
10/22/10;17:00:01;718;27.78;27.79;27.71;27.83
10/22/10;17:10:01;578;27.79;27.85;27.77;27.87
10/22/10;17:20:01;841;27.85;27.91;27.79;27.95
10/22/10;17:30:01;839;27.91;27.9;27.83;27.92
10/22/10;17:40:01;724;27.9;27.93;27.87;27.96
10/22/10;17:50:01;1057;27.94;27.93;27.89;27.97
