DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/11/10;18:10:01;443;492.13;493.43;491.75;494.5
08/11/10;18:20:01;725;493.43;492.14;492.14;495.31
08/11/10;18:30:01;558;492.15;493.02;491.67;494.98
08/11/10;18:40:01;607;493.02;492.38;490.79;494.1
08/11/10;18:50:01;909;492.39;492.42;490.24;493.87
08/11/10;19:00:01;540;492.42;492.23;490.69;493.91
08/11/10;19:10:01;780;492.23;491.35;490.48;493.74
08/11/10;19:20:01;892;492.26;492.52;490.77;493.91
08/11/10;19:30:01;966;492.52;492.96;491.16;494.63
08/11/10;19:40:01;1036;492.96;492.62;491.05;494.43
08/11/10;19:50:01;1303;492.62;491.86;490.7;494.12
08/12/10;13:30:01;304;491.86;487.69;482.03;491.86
08/12/10;13:40:01;301;487.69;487.54;486.3;491.02
08/12/10;13:50:01;270;487.54;487.87;484.57;489.43
08/12/10;14:00:01;220;488.1;489.76;486.49;490.83
08/12/10;14:10:01;166;490.31;488.96;488.14;491.58
08/12/10;14:20:01;247;488.65;487.28;487.28;490.63
08/12/10;14:30:01;106;487.28;488.56;487.11;490.13
08/12/10;14:40:01;365;488.56;491.16;487.84;492.65
08/12/10;14:50:01;220;491.16;491.09;489.7;492.95
08/12/10;15:00:01;222;491.09;491.36;489.66;493.04
08/12/10;15:10:01;106;491.85;491.35;489.63;492.76
08/12/10;15:20:01;117;491.35;491.94;490.48;493.45
08/12/10;15:30:01;473;491.94;491.13;489.54;493.05
08/12/10;15:40:01;471;491.73;492.06;489.55;493.36
08/12/10;15:50:01;382;490.72;491.68;490.17;493.62
08/12/10;16:00:01;412;491.68;492.84;489.3;492.86
08/12/10;16:10:01;277;491.58;492.92;490.35;493.42
08/12/10;16:20:01;338;492.92;492.9;490.99;494.06
08/12/10;16:30:01;365;492.91;494.11;491.12;494.84
08/12/10;16:40:01;181;492.8;492.88;491.42;494.09
08/12/10;16:50:01;217;492.88;493.33;491.28;494.66
08/12/10;17:00:01;271;493.33;492.84;492.2;494.83
08/12/10;17:10:01;199;492.84;492.74;491.38;494.32
08/12/10;17:20:01;333;492.74;492.86;490.87;494
08/12/10;17:30:01;342;492.86;492.16;490.89;493.88
08/12/10;17:40:01;308;492.16;492.41;490.82;493.77
08/12/10;17:50:01;426;492.13;491.66;490.2;492.86
08/12/10;18:00:01;446;491.59;492.14;490;493.05
08/12/10;18:10:01;324;492.14;492.23;490.87;493.82
08/12/10;18:20:01;361;492.95;492.45;489.9;493.77
08/12/10;18:30:01;467;491.57;491.4;489.77;493.83
08/12/10;18:40:01;310;491.4;490.63;489.79;492.51
08/12/10;18:50:01;406;491.05;491.92;490.11;493.95
08/12/10;19:00:01;598;491.92;493.48;491.32;494.36
08/12/10;19:10:01;609;493.48;493.16;492.36;495.76
08/12/10;19:20:01;468;493.16;493.42;492.01;494.91
08/12/10;19:30:01;707;494.01;493.67;491.94;495.63
08/12/10;19:40:01;988;493.67;493.03;490.87;494.17
08/12/10;19:50:01;1322;492.75;492.14;490.77;494
08/13/10;13:30:01;181;492.14;487.87;487.5;492.14
08/13/10;13:40:01;153;487.87;489.51;486.87;489.84
08/13/10;13:50:01;121;489.51;489.97;488.6;491.27
