DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
01/07/10;19:00:01;690;52.24;52.26;52.22;52.3
01/07/10;19:10:01;730;52.25;52.17;52.16;52.27
01/07/10;19:20:01;851;52.17;52.08;52.05;52.19
01/07/10;19:30:01;1033;52.07;52.15;52.07;52.2
01/07/10;19:40:01;771;52.15;52.12;52.07;52.18
01/07/10;19:50:01;795;52.12;52.1;52.06;52.14
01/07/10;20:00:01;1168;52.11;52.13;52;52.16
01/07/10;20:10:01;976;52.13;52.12;52.05;52.19
01/07/10;20:20:01;884;52.12;52.12;52.1;52.18
01/07/10;20:30:01;802;52.12;52.2;52.12;52.21
01/07/10;20:40:01;1127;52.2;52.19;52.18;52.29
01/07/10;20:50:01;1265;52.18;52.2;52.15;52.24
01/08/10;14:30:01;1176;52.17;52.37;52.03;52.48
01/08/10;14:40:01;1050;52.37;52.44;52.24;52.45
01/08/10;14:50:01;932;52.44;52.5;52.4;52.54
01/08/10;15:00:01;996;52.49;52.51;52.44;52.55
01/08/10;15:10:01;939;52.51;52.5;52.48;52.56
01/08/10;15:20:01;780;52.51;52.53;52.48;52.55
01/08/10;15:30:01;816;52.53;52.39;52.36;52.59
01/08/10;15:40:01;820;52.39;52.37;52.33;52.46
01/08/10;15:50:01;716;52.36;52.43;52.34;52.47
01/08/10;16:00:01;685;52.43;52.43;52.34;52.46
01/08/10;16:10:01;657;52.43;52.38;52.36;52.45
01/08/10;16:20:01;838;52.38;52.39;52.34;52.44
01/08/10;16:30:01;820;52.39;52.42;52.38;52.47
01/08/10;16:40:01;688;52.42;52.58;52.42;52.59
01/08/10;16:50:01;609;52.58;52.57;52.49;52.59
01/08/10;17:00:01;659;52.56;52.57;52.52;52.58
01/08/10;17:10:01;612;52.56;52.48;52.43;52.58
01/08/10;17:20:01;673;52.48;52.45;52.42;52.51
01/08/10;17:30:01;604;52.45;52.45;52.41;52.47
01/08/10;17:40:01;771;52.45;52.43;52.42;52.49
01/08/10;17:50:01;546;52.43;52.38;52.37;52.47
01/08/10;18:00:01;594;52.38;52.38;52.37;52.47
01/08/10;18:10:01;653;52.38;52.38;52.36;52.44
01/08/10;18:20:01;517;52.39;52.38;52.35;52.4
01/08/10;18:30:01;835;52.38;52.43;52.36;52.51
01/08/10;18:40:01;831;52.44;52.41;52.32;52.46
01/08/10;18:50:01;762;52.41;52.37;52.36;52.44
01/08/10;19:00:01;788;52.37;52.34;52.33;52.41
01/08/10;19:10:01;670;52.35;52.41;52.33;52.44
01/08/10;19:20:01;714;52.39;52.43;52.39;52.46
01/08/10;19:30:01;670;52.44;52.43;52.36;52.45
01/08/10;19:40:01;825;52.43;52.47;52.42;52.5
01/08/10;19:50:01;732;52.47;52.44;52.43;52.51
01/08/10;20:00:01;890;52.44;52.43;52.39;52.46
01/08/10;20:10:01;680;52.43;52.42;52.38;52.46
01/08/10;20:20:01;884;52.42;52.43;52.39;52.47
01/08/10;20:30:01;1010;52.42;52.47;52.39;52.49
01/08/10;20:40:01;1370;52.48;52.59;52.47;52.6
01/08/10;20:50:01;1483;52.6;52.57;52.55;52.65
01/11/10;14:30:01;715;52.56;52.18;52.06;52.71
01/11/10;14:40:01;556;52.18;52.19;52.09;52.24
01/11/10;14:50:01;614;52.2;52.03;52.01;52.2
01/11/10;15:00:01;611;52.03;51.99;51.96;52.1
01/11/10;15:10:01;591;51.99;52;51.93;52.06
01/11/10;15:20:01;743;52.01;52.12;51.97;52.16
01/11/10;15:30:01;664;52.13;52.17;52.09;52.18
01/11/10;15:40:01;460;52.17;52.31;52.13;52.31
01/11/10;15:50:01;510;52.3;52.25;52.22;52.33
01/11/10;16:00:01;630;52.25;52.12;52.1;52.27
01/11/10;16:10:01;498;52.12;52.13;52.08;52.17
01/11/10;16:20:01;551;52.12;52.11;52.08;52.18
01/11/10;16:30:01;695;52.11;52.16;52.07;52.17
01/11/10;16:40:01;570;52.17;52.14;52.1;52.19
01/11/10;16:50:01;647;52.14;52.26;52.13;52.27
01/11/10;17:00:01;605;52.26;52.23;52.2;52.29
01/11/10;17:10:01;504;52.23;52.21;52.18;52.26
01/11/10;17:20:01;572;52.2;52.25;52.16;52.25
01/11/10;17:30:01;597;52.25;52.24;52.2;52.27
01/11/10;17:40:01;676;52.24;52.14;52.08;52.25
01/11/10;17:50:01;689;52.13;52.09;52.08;52.19
01/11/10;18:00:01;625;52.09;52.11;52.01;52.11
01/11/10;18:10:01;603;52.11;52.04;51.99;52.11
01/11/10;18:20:01;633;52.04;52.03;52.01;52.08
01/11/10;18:30:01;626;52.03;52.08;52;52.09
01/11/10;18:40:01;912;52.07;52.09;52;52.14
01/11/10;18:50:01;782;52.09;52.18;52.09;52.22
01/11/10;19:00:01;674;52.19;52.21;52.16;52.24
01/11/10;19:10:01;727;52.21;52.29;52.2;52.3
01/11/10;19:20:01;723;52.3;52.28;52.26;52.37
01/11/10;19:30:01;757;52.27;52.29;52.24;52.32
01/11/10;19:40:01;737;52.29;52.3;52.26;52.33
01/11/10;19:50:01;856;52.3;52.37;52.29;52.4
01/11/10;20:00:01;974;52.37;52.42;52.35;52.44
01/11/10;20:10:01;969;52.42;52.44;52.39;52.49
01/11/10;20:20:01;1117;52.44;52.43;52.37;52.49
01/11/10;20:30:01;939;52.43;52.46;52.4;52.5
01/11/10;20:40:01;1069;52.46;52.46;52.42;52.5
01/11/10;20:50:01;1429;52.45;52.45;52.39;52.49
01/12/10;14:30:01;972;52.45;52.28;52;52.45
01/12/10;14:40:01;1403;52.28;52.34;52.19;52.42
01/12/10;14:50:01;1136;52.34;52.48;52.34;52.54
01/12/10;15:00:01;1178;52.48;52.38;52.36;52.55
01/12/10;15:10:01;958;52.37;52.39;52.36;52.5
01/12/10;15:20:01;831;52.4;52.5;52.36;52.53
01/12/10;15:30:01;891;52.5;52.39;52.37;52.51
01/12/10;15:40:01;791;52.39;52.52;52.37;52.52
01/12/10;15:50:01;889;52.51;52.51;52.46;52.57
01/12/10;16:00:01;787;52.52;52.51;52.47;52.56
01/12/10;16:10:01;639;52.51;52.43;52.39;52.52
01/12/10;16:20:01;869;52.43;52.28;52.28;52.44
01/12/10;16:30:01;942;52.29;52.24;52.22;52.31
01/12/10;16:40:01;720;52.25;52.22;52.2;52.28
01/12/10;16:50:01;686;52.21;52.24;52.15;52.26
01/12/10;17:00:01;812;52.24;52.19;52.14;52.25
01/12/10;17:10:01;919;52.19;52.05;52.05;52.21
01/12/10;17:20:01;1211;52.05;51.97;51.92;52.06
01/12/10;17:30:01;961;51.97;52;51.88;52.01
01/12/10;17:40:01;826;52;51.97;51.96;52.02
01/12/10;17:50:01;951;51.97;51.95;51.83;51.99
01/12/10;18:00:01;795;51.96;51.94;51.94;52.05
01/12/10;18:10:01;879;51.96;51.89;51.85;51.97
01/12/10;18:20:01;728;51.88;51.93;51.81;51.96
01/12/10;18:30:01;910;51.92;51.98;51.9;51.99
01/12/10;18:40:01;1005;51.98;51.9;51.87;52
01/12/10;18:50:01;992;51.89;51.91;51.85;51.92
01/12/10;19:00:01;906;51.92;51.84;51.78;51.92
01/12/10;19:10:01;798;51.83;51.81;51.79;51.85
01/12/10;19:20:01;754;51.81;51.84;51.8;51.86
01/12/10;19:30:01;975;51.85;51.88;51.83;51.92
01/12/10;19:40:01;961;51.88;51.92;51.8;51.92
01/12/10;19:50:01;1094;51.92;51.9;51.88;51.95
01/12/10;20:00:01;942;51.9;51.9;51.85;51.94
01/12/10;20:10:01;938;51.88;51.8;51.79;51.92
01/12/10;20:20:01;1059;51.8;51.9;51.8;51.93
01/12/10;20:30:01;1135;51.89;51.85;51.83;51.94
01/12/10;20:40:01;1241;51.84;51.85;51.81;51.89
01/12/10;20:50:01;1413;51.84;51.93;51.84;51.95
01/13/10;14:30:01;1196;51.96;52.1;51.96;52.35
01/13/10;14:40:01;1144;52.1;52.09;52.05;52.23
01/13/10;14:50:01;899;52.09;52.06;52.02;52.15
01/13/10;15:00:01;962;52.06;51.92;51.9;52.09
01/13/10;15:10:01;912;51.92;51.9;51.86;51.97
01/13/10;15:20:01;1039;51.9;51.81;51.81;51.93
01/13/10;15:30:01;960;51.83;51.7;51.69;51.83
01/13/10;15:40:01;858;51.7;51.79;51.69;51.83
01/13/10;15:50:01;930;51.79;51.81;51.76;51.83
01/13/10;16:00:01;965;51.8;51.79;51.74;51.81
01/13/10;16:10:01;924;51.8;51.67;51.64;51.81
01/13/10;16:20:01;1180;51.66;51.78;51.65;51.81
01/13/10;16:30:01;1047;51.77;51.79;51.75;51.86
01/13/10;16:40:01;997;51.78;51.7;51.65;51.79
01/13/10;16:50:01;911;51.71;51.66;51.65;51.8
01/13/10;17:00:01;971;51.66;51.92;51.65;51.92
01/13/10;17:10:01;1008;51.91;51.74;51.71;51.96
01/13/10;17:20:01;1108;51.74;51.76;51.71;51.82
01/13/10;17:30:01;1046;51.76;52;51.74;52.01
01/13/10;17:40:01;900;51.99;51.98;51.94;52.05
01/13/10;17:50:01;855;51.98;51.96;51.94;52.01
01/13/10;18:00:01;693;51.96;51.9;51.86;51.97
01/13/10;18:10:01;812;51.9;51.91;51.88;51.96
01/13/10;18:20:01;798;51.9;51.86;51.79;51.91
01/13/10;18:30:01;973;51.86;51.89;51.85;51.93
01/13/10;18:40:01;721;51.89;51.83;51.82;51.9
01/13/10;18:50:01;980;51.83;51.87;51.79;51.89
01/13/10;19:00:01;978;51.87;51.95;51.85;51.97
01/13/10;19:10:01;842;51.95;51.95;51.92;52
01/13/10;19:20:01;780;51.95;51.97;51.91;51.99
01/13/10;19:30:01;889;51.97;51.97;51.96;52.03
01/13/10;19:40:01;994;51.97;52.13;51.96;52.13
01/13/10;19:50:01;1034;52.13;52.18;52.1;52.2
01/13/10;20:00:01;996;52.17;52.19;52.13;52.21
01/13/10;20:10:01;825;52.2;52.2;52.17;52.24
01/13/10;20:20:01;1102;52.2;52.27;52.15;52.33
01/13/10;20:30:01;1275;52.27;52.3;52.26;52.41
01/13/10;20:40:01;1235;52.31;52.3;52.25;52.35
01/13/10;20:50:01;1726;52.3;52.22;52.21;52.34
01/14/10;14:30:01;1226;52.22;52.47;52.17;52.5
01/14/10;14:40:01;1359;52.46;52.63;52.46;52.68
01/14/10;14:50:01;1318;52.63;52.67;52.53;52.69
01/14/10;15:00:01;1133;52.67;52.72;52.61;52.75
01/14/10;15:10:01;1044;52.71;52.8;52.66;52.8
01/14/10;15:20:01;1184;52.8;52.87;52.78;52.95
01/14/10;15:30:01;1010;52.87;52.85;52.82;52.94
01/14/10;15:40:01;973;52.85;52.75;52.72;52.85
01/14/10;15:50:01;1056;52.75;52.72;52.71;52.85
01/14/10;16:00:01;850;52.72;52.69;52.66;52.76
01/14/10;16:10:01;901;52.7;52.7;52.66;52.75
01/14/10;16:20:01;793;52.7;52.68;52.62;52.72
