DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/31/10;14:10:01;149;125.18;125.18;125.17;125.19
05/31/10;14:20:01;157;125.18;125.17;125.17;125.19
05/31/10;14:30:01;154;125.18;125.17;125.17;125.19
05/31/10;14:40:01;145;125.18;125.18;125.17;125.19
05/31/10;14:50:01;151;125.18;125.17;125.17;125.19
05/31/10;15:00:01;157;125.18;125.18;125.17;125.19
05/31/10;15:10:01;155;125.18;125.17;125.17;125.19
05/31/10;15:20:01;152;125.18;125.17;125.17;125.19
05/31/10;15:30:01;150;125.17;125.17;125.17;125.19
05/31/10;15:40:01;160;125.18;125.17;125.17;125.19
05/31/10;15:50:01;159;125.17;125.18;125.17;125.19
05/31/10;16:00:01;168;125.18;125.18;125.17;125.19
05/31/10;16:10:01;160;125.17;125.18;125.17;125.19
05/31/10;16:20:01;137;125.18;125.17;125.17;125.19
05/31/10;16:30:01;161;125.17;125.18;125.17;125.19
05/31/10;16:40:01;140;125.18;125.18;125.17;125.19
05/31/10;16:50:01;137;125.17;125.17;125.17;125.19
05/31/10;17:00:01;151;125.18;125.18;125.17;125.19
05/31/10;17:10:01;167;125.17;125.17;125.17;125.19
05/31/10;17:20:01;155;125.18;125.18;125.17;125.19
05/31/10;17:30:01;158;125.18;125.18;125.17;125.19
05/31/10;17:40:01;149;125.18;125.19;125.17;125.19
05/31/10;17:50:01;151;125.19;125.18;125.17;125.19
05/31/10;18:00:01;155;125.18;125.17;125.17;125.19
05/31/10;18:10:01;157;125.18;125.18;125.17;125.19
05/31/10;18:20:01;152;125.19;125.18;125.17;125.19
05/31/10;18:30:01;150;125.18;125.18;125.17;125.19
05/31/10;18:40:01;141;125.18;125.19;125.17;125.19
05/31/10;18:50:01;143;125.18;125.18;125.17;125.19
05/31/10;19:00:01;159;125.19;125.17;125.17;125.19
05/31/10;19:10:01;155;125.18;125.18;125.17;125.19
05/31/10;19:20:01;172;125.19;125.18;125.17;125.19
05/31/10;19:30:01;136;125.18;125.18;125.17;125.19
05/31/10;19:40:01;141;125.17;125.17;125.17;125.19
05/31/10;19:50:01;158;125.17;125.17;125.17;125.19
06/01/10;13:30:01;2330;125.27;124.57;124.35;125.33
06/01/10;13:40:01;2188;124.58;125.3;124.55;125.35
06/01/10;13:50:01;2386;125.3;125.46;125.26;125.62
06/01/10;14:00:01;2336;125.44;126.03;125.44;126.16
06/01/10;14:10:01;2372;126.01;126.36;125.87;126.37
06/01/10;14:20:01;2006;126.36;126.58;126.33;126.84
06/01/10;14:30:01;1595;126.6;126.44;126.41;126.88
06/01/10;14:40:01;1558;126.43;126.54;126.38;126.56
06/01/10;14:50:01;1688;126.54;126.18;126.07;126.6
06/01/10;15:00:01;1470;126.2;126.25;126.05;126.27
06/01/10;15:10:01;1707;126.26;125.81;125.81;126.28
06/01/10;15:20:01;1837;125.78;126.1;125.76;126.19
06/01/10;15:30:01;1540;126.09;125.99;125.82;126.15
06/01/10;15:40:01;1724;125.98;125.73;125.65;126.06
06/01/10;15:50:01;2067;125.71;125.65;125.59;125.87
06/01/10;16:00:01;1701;125.66;125.76;125.6;125.93
06/01/10;16:10:01;1597;125.76;125.91;125.76;126.07
06/01/10;16:20:01;1267;125.91;126.14;125.86;126.21
06/01/10;16:30:01;1258;126.14;126.21;126.03;126.24
06/01/10;16:40:01;1373;126.21;126.09;125.98;126.25
06/01/10;16:50:01;1067;126.09;125.87;125.83;126.17
06/01/10;17:00:01;1375;125.86;126.07;125.83;126.09
06/01/10;17:10:01;1616;126.07;126.56;126.03;126.58
06/01/10;17:20:01;1446;126.56;126.65;126.47;126.77
06/01/10;17:30:01;1468;126.68;126.78;126.6;126.81
06/01/10;17:40:01;1392;126.78;126.64;126.52;126.8
06/01/10;17:50:01;1378;126.64;126.25;126.24;126.65
06/01/10;18:00:01;1766;126.27;125.75;125.64;126.27
06/01/10;18:10:01;1727;125.75;125.83;125.62;125.94
06/01/10;18:20:01;1624;125.82;125.96;125.73;126.02
06/01/10;18:30:01;1529;125.94;126.02;125.91;126.2
06/01/10;18:40:01;1419;126.02;125.97;125.94;126.09
06/01/10;18:50:01;1768;125.97;125.77;125.52;126.02
06/01/10;19:00:01;2084;125.77;125.68;125.6;125.86
06/01/10;19:10:01;1761;125.68;125.66;125.55;125.98
06/01/10;19:20:01;2353;125.67;125.46;125.17;125.77
06/01/10;19:30:01;2194;125.46;125.49;125.34;125.71
06/01/10;19:40:01;2902;125.49;124.95;124.84;125.63
06/01/10;19:50:01;3210;124.94;124.27;124.19;124.95
06/02/10;13:30:01;2564;124.37;124.71;124.37;125.31
06/02/10;13:40:01;2657;124.71;124.58;124.43;124.82
06/02/10;13:50:01;2553;124.58;124.82;124.33;124.84
06/02/10;14:00:01;2264;124.78;125.04;124.63;125.16
06/02/10;14:10:01;2400;125.03;125.36;124.85;125.42
06/02/10;14:20:01;2065;125.36;125.11;125.11;125.45
06/02/10;14:30:01;2344;125.11;125.43;125.11;125.45
06/02/10;14:40:01;1939;125.38;125.05;124.92;125.38
06/02/10;14:50:01;1600;125.05;125.38;124.94;125.43
06/02/10;15:00:01;1756;125.38;125.54;125.35;125.62
06/02/10;15:10:01;2328;125.54;125.49;125.47;125.78
06/02/10;15:20:01;2092;125.5;125.61;125.49;125.81
06/02/10;15:30:01;1662;125.6;125.64;125.5;125.75
06/02/10;15:40:01;1788;125.63;125.83;125.63;125.96
06/02/10;15:50:01;1660;125.86;125.88;125.77;125.95
06/02/10;16:00:01;1423;125.88;125.87;125.85;126.02
06/02/10;16:10:01;1505;125.89;125.77;125.77;125.96
06/02/10;16:20:01;1410;125.75;125.98;125.71;126
06/02/10;16:30:01;1090;125.99;125.96;125.93;126.15
06/02/10;16:40:01;1086;125.96;126.19;125.92;126.23
06/02/10;16:50:01;1115;126.21;126.09;126.04;126.21
06/02/10;17:00:01;1329;126.09;125.98;125.94;126.25
06/02/10;17:10:01;1404;125.98;125.98;125.89;126.1
06/02/10;17:20:01;1358;126;126.01;125.91;126.16
06/02/10;17:30:01;1369;126.03;126.06;125.97;126.17
06/02/10;17:40:01;1526;126.08;125.94;125.91;126.09
06/02/10;17:50:01;1566;125.92;126.1;125.91;126.1
06/02/10;18:00:01;2044;126.1;126.04;125.84;126.1
06/02/10;18:10:01;1807;126.05;125.79;125.79;126.09
06/02/10;18:20:01;2623;125.83;126.13;125.79;126.19
06/02/10;18:30:01;2276;126.13;126.31;126.01;126.32
06/02/10;18:40:01;2595;126.31;126.5;126.29;126.58
06/02/10;18:50:01;2419;126.53;126.46;126.45;126.73
06/02/10;19:00:01;2839;126.46;126.75;126.46;126.85
06/02/10;19:10:01;2534;126.75;127.02;126.7;127.04
06/02/10;19:20:01;2215;127.02;127.11;126.89;127.2
06/02/10;19:30:01;2898;127.11;126.97;126.8;127.28
06/02/10;19:40:01;3150;126.97;126.93;126.8;127.12
06/02/10;19:50:01;3687;126.93;127.49;126.86;127.51
06/03/10;13:30:01;2262;127.4;127.39;127.1;127.84
06/03/10;13:40:01;2952;127.39;127.9;127.23;127.9
06/03/10;13:50:01;3049;127.88;127.83;127.77;128
