DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
01/07/10;19:00:01;1920;46.01;46.03;45.99;46.06
01/07/10;19:10:01;1914;46.04;46.03;46;46.08
01/07/10;19:20:01;1654;46.04;46.02;46.01;46.08
01/07/10;19:30:01;2385;46.02;46.15;46;46.16
01/07/10;19:40:01;1893;46.15;46.14;46.09;46.16
01/07/10;19:50:01;1866;46.14;46.12;46.08;46.15
01/07/10;20:00:01;2372;46.12;46.05;46;46.13
01/07/10;20:10:01;1819;46.04;46.08;46.03;46.1
01/07/10;20:20:01;2026;46.08;46.08;46.06;46.14
01/07/10;20:30:01;2131;46.08;46.11;46.07;46.12
01/07/10;20:40:01;2078;46.11;46.07;46.06;46.16
01/07/10;20:50:01;2091;46.07;46.14;46.07;46.15
01/08/10;14:30:01;2497;46.17;46.02;45.98;46.18
01/08/10;14:40:01;2370;46.02;46.07;45.94;46.08
01/08/10;14:50:01;2131;46.07;46.15;45.97;46.17
01/08/10;15:00:01;2315;46.15;46.26;46.15;46.31
01/08/10;15:10:01;2313;46.25;46.33;46.25;46.4
01/08/10;15:20:01;2010;46.34;46.35;46.31;46.4
01/08/10;15:30:01;1998;46.35;46.31;46.27;46.37
01/08/10;15:40:01;2224;46.31;46.2;46.18;46.33
01/08/10;15:50:01;1908;46.2;46.32;46.19;46.33
01/08/10;16:00:01;1940;46.31;46.3;46.24;46.33
01/08/10;16:10:01;1945;46.29;46.34;46.28;46.36
01/08/10;16:20:01;2248;46.35;46.39;46.29;46.42
01/08/10;16:30:01;2003;46.39;46.35;46.32;46.42
01/08/10;16:40:01;1987;46.35;46.38;46.32;46.42
01/08/10;16:50:01;1885;46.38;46.39;46.34;46.41
01/08/10;17:00:01;1656;46.39;46.39;46.36;46.41
01/08/10;17:10:01;1863;46.39;46.34;46.33;46.41
01/08/10;17:20:01;1623;46.34;46.38;46.32;46.39
01/08/10;17:30:01;1422;46.38;46.38;46.35;46.4
01/08/10;17:40:01;1779;46.38;46.36;46.35;46.42
01/08/10;17:50:01;1327;46.36;46.38;46.34;46.42
01/08/10;18:00:01;1456;46.39;46.41;46.37;46.46
01/08/10;18:10:01;1953;46.4;46.42;46.4;46.48
01/08/10;18:20:01;1460;46.42;46.44;46.4;46.46
01/08/10;18:30:01;1968;46.44;46.51;46.42;46.53
01/08/10;18:40:01;1868;46.52;46.48;46.45;46.53
01/08/10;18:50:01;1760;46.48;46.44;46.43;46.5
01/08/10;19:00:01;1515;46.44;46.45;46.42;46.48
01/08/10;19:10:01;1361;46.45;46.45;46.43;46.48
01/08/10;19:20:01;1423;46.45;46.45;46.42;46.47
01/08/10;19:30:01;1568;46.45;46.43;46.4;46.47
01/08/10;19:40:01;1862;46.43;46.45;46.42;46.48
01/08/10;19:50:01;1502;46.45;46.45;46.42;46.48
01/08/10;20:00:01;1820;46.45;46.46;46.35;46.47
01/08/10;20:10:01;1535;46.45;46.47;46.44;46.48
01/08/10;20:20:01;1564;46.47;46.49;46.44;46.51
01/08/10;20:30:01;1657;46.49;46.53;46.46;46.53
01/08/10;20:40:01;2764;46.52;46.53;46.5;46.56
01/08/10;20:50:01;2522;46.53;46.55;46.5;46.56
01/11/10;14:30:01;1459;46.55;46.49;46.44;46.64
01/11/10;14:40:01;1231;46.49;46.44;46.4;46.5
01/11/10;14:50:01;1336;46.46;46.33;46.32;46.46
01/11/10;15:00:01;1391;46.33;46.22;46.21;46.41
01/11/10;15:10:01;1595;46.22;46.23;46.12;46.26
01/11/10;15:20:01;1843;46.24;46.28;46.19;46.3
01/11/10;15:30:01;1473;46.28;46.25;46.22;46.3
01/11/10;15:40:01;1116;46.26;46.29;46.21;46.3
01/11/10;15:50:01;1358;46.3;46.3;46.26;46.33
01/11/10;16:00:01;1679;46.29;46.2;46.16;46.3
01/11/10;16:10:01;1548;46.19;46.22;46.13;46.22
01/11/10;16:20:01;1673;46.22;46.17;46.15;46.24
01/11/10;16:30:01;1667;46.17;46.27;46.17;46.29
01/11/10;16:40:01;1702;46.27;46.22;46.2;46.29
01/11/10;16:50:01;1765;46.22;46.32;46.21;46.33
01/11/10;17:00:01;1636;46.32;46.34;46.31;46.37
01/11/10;17:10:01;1582;46.34;46.32;46.3;46.37
01/11/10;17:20:01;1422;46.32;46.31;46.29;46.34
01/11/10;17:30:01;1406;46.32;46.3;46.26;46.34
01/11/10;17:40:01;1704;46.3;46.19;46.18;46.31
01/11/10;17:50:01;1484;46.19;46.23;46.16;46.25
01/11/10;18:00:01;1276;46.23;46.23;46.18;46.24
01/11/10;18:10:01;1365;46.23;46.22;46.19;46.26
01/11/10;18:20:01;1514;46.23;46.24;46.21;46.26
01/11/10;18:30:01;1199;46.24;46.25;46.21;46.27
01/11/10;18:40:01;1595;46.24;46.23;46.21;46.29
01/11/10;18:50:01;1469;46.24;46.24;46.22;46.28
01/11/10;19:00:01;1400;46.24;46.21;46.16;46.25
01/11/10;19:10:01;1528;46.2;46.22;46.17;46.25
01/11/10;19:20:01;1324;46.21;46.19;46.19;46.27
01/11/10;19:30:01;1585;46.21;46.22;46.17;46.24
01/11/10;19:40:01;1691;46.22;46.18;46.17;46.23
01/11/10;19:50:01;1822;46.19;46.21;46.19;46.25
01/11/10;20:00:01;2050;46.21;46.31;46.2;46.32
01/11/10;20:10:01;1860;46.31;46.33;46.27;46.35
01/11/10;20:20:01;1709;46.34;46.35;46.3;46.37
01/11/10;20:30:01;1468;46.35;46.37;46.34;46.4
01/11/10;20:40:01;2300;46.38;46.4;46.36;46.43
01/11/10;20:50:01;2327;46.4;46.37;46.36;46.43
01/12/10;14:30:01;2345;46.36;46.05;45.97;46.36
01/12/10;14:40:01;2426;46.06;45.91;45.81;46.06
01/12/10;14:50:01;2186;45.92;45.96;45.9;46
01/12/10;15:00:01;2287;45.96;45.96;45.93;46.03
01/12/10;15:10:01;2454;45.96;45.97;45.93;46.03
01/12/10;15:20:01;2129;45.97;46;45.91;46.03
01/12/10;15:30:01;2075;46;45.95;45.94;46.02
01/12/10;15:40:01;1769;45.95;46;45.93;46.01
01/12/10;15:50:01;1931;46;46.01;45.99;46.08
01/12/10;16:00:01;2062;46.01;45.99;45.95;46.02
01/12/10;16:10:01;2161;45.99;45.95;45.92;46.01
01/12/10;16:20:01;1703;45.95;45.96;45.93;46
01/12/10;16:30:01;2057;45.97;45.93;45.89;46
01/12/10;16:40:01;1904;45.92;45.9;45.86;45.95
01/12/10;16:50:01;1692;45.9;45.92;45.88;45.95
01/12/10;17:00:01;2184;45.92;45.87;45.84;45.94
01/12/10;17:10:01;2652;45.87;45.83;45.81;45.89
01/12/10;17:20:01;2688;45.83;45.66;45.62;45.84
01/12/10;17:30:01;2474;45.67;45.68;45.58;45.69
01/12/10;17:40:01;2166;45.69;45.61;45.61;45.7
01/12/10;17:50:01;2135;45.61;45.59;45.54;45.63
01/12/10;18:00:01;2019;45.59;45.58;45.55;45.64
01/12/10;18:10:01;2253;45.58;45.56;45.55;45.64
01/12/10;18:20:01;1852;45.57;45.62;45.53;45.63
01/12/10;18:30:01;1975;45.62;45.63;45.6;45.66
01/12/10;18:40:01;1961;45.63;45.62;45.58;45.66
01/12/10;18:50:01;2049;45.61;45.66;45.59;45.69
01/12/10;19:00:01;1770;45.68;45.67;45.63;45.7
01/12/10;19:10:01;1893;45.67;45.65;45.61;45.68
01/12/10;19:20:01;2107;45.65;45.64;45.59;45.66
01/12/10;19:30:01;2112;45.65;45.68;45.61;45.7
01/12/10;19:40:01;2631;45.67;45.67;45.6;45.68
01/12/10;19:50:01;2929;45.68;45.75;45.67;45.78
01/12/10;20:00:01;2191;45.75;45.71;45.66;45.76
01/12/10;20:10:01;1948;45.71;45.65;45.62;45.73
01/12/10;20:20:01;1957;45.65;45.73;45.63;45.74
01/12/10;20:30:01;2395;45.73;45.63;45.62;45.76
01/12/10;20:40:01;2551;45.61;45.68;45.61;45.69
01/12/10;20:50:01;2288;45.68;45.78;45.67;45.79
01/13/10;14:30:01;2906;45.81;45.89;45.81;46.08
01/13/10;14:40:01;2824;45.89;45.84;45.84;45.94
01/13/10;14:50:01;2826;45.84;45.84;45.82;45.93
01/13/10;15:00:01;2404;45.82;45.71;45.69;45.88
01/13/10;15:10:01;2481;45.71;45.67;45.62;45.75
01/13/10;15:20:01;2627;45.69;45.7;45.61;45.71
01/13/10;15:30:01;2287;45.71;45.79;45.65;45.8
01/13/10;15:40:01;2388;45.79;45.78;45.76;45.82
01/13/10;15:50:01;2238;45.78;45.85;45.75;45.85
01/13/10;16:00:01;1855;45.83;45.8;45.76;45.85
01/13/10;16:10:01;2010;45.8;45.8;45.76;45.81
01/13/10;16:20:01;2427;45.79;45.89;45.78;45.91
01/13/10;16:30:01;2153;45.89;45.86;45.86;45.95
01/13/10;16:40:01;2062;45.85;45.86;45.83;45.9
01/13/10;16:50:01;2022;45.88;45.86;45.86;45.93
01/13/10;17:00:01;2169;45.87;46;45.87;46.01
01/13/10;17:10:01;1841;46;45.97;45.93;46
01/13/10;17:20:01;2187;45.97;46.08;45.96;46.11
01/13/10;17:30:01;2472;46.08;46.15;46.05;46.19
01/13/10;17:40:01;2409;46.15;46.16;46.15;46.21
01/13/10;17:50:01;2157;46.16;46.16;46.15;46.22
01/13/10;18:00:01;1660;46.16;46.15;46.11;46.18
01/13/10;18:10:01;1467;46.15;46.18;46.14;46.2
01/13/10;18:20:01;1687;46.19;46.21;46.13;46.22
01/13/10;18:30:01;2190;46.21;46.27;46.2;46.3
01/13/10;18:40:01;2006;46.26;46.27;46.25;46.31
01/13/10;18:50:01;2034;46.27;46.23;46.22;46.3
01/13/10;19:00:01;2057;46.23;46.25;46.21;46.31
01/13/10;19:10:01;1881;46.25;46.26;46.24;46.3
01/13/10;19:20:01;2066;46.26;46.29;46.23;46.3
01/13/10;19:30:01;2076;46.29;46.33;46.27;46.36
01/13/10;19:40:01;2106;46.32;46.39;46.3;46.39
01/13/10;19:50:01;2246;46.39;46.39;46.32;46.4
01/13/10;20:00:01;1981;46.39;46.34;46.32;46.41
01/13/10;20:10:01;1514;46.33;46.31;46.3;46.37
01/13/10;20:20:01;2014;46.31;46.4;46.3;46.42
01/13/10;20:30:01;2288;46.39;46.46;46.37;46.49
01/13/10;20:40:01;2118;46.46;46.41;46.4;46.49
01/13/10;20:50:01;2252;46.41;46.36;46.35;46.43
01/14/10;14:30:01;2729;46.33;46.26;46.21;46.34
01/14/10;14:40:01;2469;46.26;46.41;46.24;46.41
01/14/10;14:50:01;2649;46.41;46.31;46.3;46.42
01/14/10;15:00:01;2198;46.32;46.48;46.32;46.5
01/14/10;15:10:01;2229;46.48;46.41;46.4;46.51
01/14/10;15:20:01;2418;46.42;46.4;46.38;46.47
01/14/10;15:30:01;2142;46.4;46.45;46.39;46.47
01/14/10;15:40:01;2413;46.45;46.34;46.28;46.47
01/14/10;15:50:01;2160;46.34;46.28;46.25;46.37
01/14/10;16:00:01;1962;46.28;46.29;46.22;46.31
01/14/10;16:10:01;2114;46.3;46.34;46.26;46.37
01/14/10;16:20:01;1948;46.34;46.35;46.28;46.36
01/14/10;16:30:01;2063;46.34;46.36;46.31;46.39
01/14/10;16:40:01;1764;46.37;46.36;46.32;46.39
01/14/10;16:50:01;1656;46.35;46.29;46.27;46.36
01/14/10;17:00:01;1691;46.29;46.37;46.28;46.39
01/14/10;17:10:01;1685;46.38;46.38;46.32;46.41
01/14/10;17:20:01;1429;46.37;46.39;46.33;46.41
01/14/10;17:30:01;1847;46.39;46.38;46.37;46.44
01/14/10;17:40:01;1585;46.37;46.36;46.34;46.41
01/14/10;17:50:01;1428;46.36;46.38;46.35;46.39
01/14/10;18:00:01;1452;46.38;46.35;46.33;46.4
01/14/10;18:10:01;1444;46.35;46.31;46.31;46.36
01/14/10;18:20:01;1452;46.31;46.34;46.31;46.36
01/14/10;18:30:01;1575;46.34;46.4;46.33;46.42
01/14/10;18:40:01;1487;46.41;46.4;46.37;46.42
01/14/10;18:50:01;1519;46.41;46.36;46.35;46.41
01/14/10;19:00:01;1337;46.37;46.39;46.35;46.42
01/14/10;19:10:01;1368;46.39;46.37;46.35;46.42
01/14/10;19:20:01;1480;46.37;46.4;46.36;46.41
01/14/10;19:30:01;1398;46.4;46.43;46.37;46.45
01/14/10;19:40:01;1566;46.44;46.41;46.41;46.46
01/14/10;19:50:01;1712;46.43;46.43;46.4;46.46
01/14/10;20:00:01;2011;46.44;46.48;46.44;46.53
01/14/10;20:10:01;1799;46.49;46.47;46.46;46.52
01/14/10;20:20:01;1809;46.47;46.47;46.44;46.5
01/14/10;20:30:01;2251;46.47;46.42;46.39;46.49
01/14/10;20:40:01;1909;46.42;46.44;46.39;46.47
01/14/10;20:50:01;2195;46.44;46.39;46.37;46.44
01/15/10;14:30:01;2691;46.42;46.4;46.4;46.56
01/15/10;14:40:01;2308;46.4;46.28;46.26;46.42
01/15/10;14:50:01;2028;46.28;46.22;46.14;46.31
01/15/10;15:00:01;2133;46.22;46.07;45.99;46.23
01/15/10;15:10:01;2213;46.07;46.03;45.95;46.1
01/15/10;15:20:01;2232;46.03;46.07;45.97;46.09
01/15/10;15:30:01;2207;46.07;46.04;45.99;46.1
