DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/11/10;18:10:01;1071;51.22;51.25;51.19;51.27
08/11/10;18:20:01;1056;51.24;51.23;51.21;51.28
08/11/10;18:30:01;1267;51.24;51.16;51.14;51.25
08/11/10;18:40:01;1315;51.16;51.06;51.03;51.18
08/11/10;18:50:01;1704;51.06;51.04;50.98;51.08
08/11/10;19:00:01;1500;51.03;51.09;51.03;51.11
08/11/10;19:10:01;1515;51.09;51.05;51.02;51.12
08/11/10;19:20:01;1776;51.05;51.1;51.01;51.13
08/11/10;19:30:01;2436;51.1;51.15;51.08;51.21
08/11/10;19:40:01;2647;51.14;51.04;51.02;51.16
08/11/10;19:50:01;3141;51.04;51.05;50.97;51.09
08/12/10;13:30:01;577;51.06;50.73;50.6;51.06
08/12/10;13:40:01;614;50.73;50.57;50.52;50.76
08/12/10;13:50:01;674;50.57;50.42;50.41;50.57
08/12/10;14:00:01;544;50.41;50.49;50.39;50.51
08/12/10;14:10:01;538;50.49;50.37;50.32;50.5
08/12/10;14:20:01;568;50.37;50.33;50.32;50.43
08/12/10;14:30:01;592;50.34;50.37;50.33;50.45
08/12/10;14:40:01;689;50.37;50.35;50.35;50.44
08/12/10;14:50:01;654;50.35;50.35;50.32;50.44
08/12/10;15:00:01;796;50.33;50.23;50.17;50.37
08/12/10;15:10:01;515;50.22;50.26;50.2;50.3
08/12/10;15:20:01;664;50.25;50.29;50.22;50.29
08/12/10;15:30:01;1510;50.3;50.17;50.14;50.31
08/12/10;15:40:01;1204;50.16;50.19;50.11;50.22
08/12/10;15:50:01;1200;50.17;50.08;50.06;50.19
08/12/10;16:00:01;1153;50.1;50.11;50.05;50.13
08/12/10;16:10:01;1027;50.12;50.16;50.08;50.2
08/12/10;16:20:01;846;50.17;50.17;50.15;50.22
08/12/10;16:30:01;1080;50.18;50.17;50.17;50.25
08/12/10;16:40:01;863;50.17;50.14;50.12;50.2
08/12/10;16:50:01;974;50.14;50.15;50.11;50.18
08/12/10;17:00:01;945;50.15;50.15;50.12;50.22
08/12/10;17:10:01;925;50.14;50.16;50.1;50.21
08/12/10;17:20:01;1139;50.15;50.08;50.04;50.18
08/12/10;17:30:01;982;50.09;50.1;50.05;50.13
08/12/10;17:40:01;1095;50.11;50.03;50.02;50.12
08/12/10;17:50:01;1249;50.02;50.06;49.99;50.09
08/12/10;18:00:01;948;50.06;50.12;50.04;50.13
08/12/10;18:10:01;1109;50.12;50.18;50.11;50.2
08/12/10;18:20:01;1160;50.17;50.18;50.09;50.2
08/12/10;18:30:01;1325;50.18;50.13;50.08;50.22
08/12/10;18:40:01;1149;50.13;50.18;50.11;50.23
08/12/10;18:50:01;1395;50.18;50.27;50.17;50.3
08/12/10;19:00:01;1717;50.27;50.42;50.25;50.44
08/12/10;19:10:01;1697;50.42;50.33;50.32;50.47
08/12/10;19:20:01;1442;50.33;50.39;50.32;50.41
08/12/10;19:30:01;1866;50.39;50.43;50.35;50.47
08/12/10;19:40:01;2210;50.43;50.47;50.29;50.48
08/12/10;19:50:01;2476;50.47;50.42;50.39;50.51
08/13/10;13:30:01;417;50.42;50.07;49.99;50.43
08/13/10;13:40:01;420;50.07;50.2;50.04;50.2
08/13/10;13:50:01;520;50.2;50.24;50.08;50.26
08/13/10;14:00:01;485;50.24;50.28;50.2;50.31
08/13/10;14:10:01;370;50.28;50.34;50.2;50.4
08/13/10;14:20:01;315;50.33;50.28;50.25;50.35
08/13/10;14:30:01;356;50.29;50.39;50.26;50.39
08/13/10;14:40:01;338;50.39;50.33;50.33;50.43
08/13/10;14:50:01;335;50.34;50.41;50.32;50.42
08/13/10;15:00:01;307;50.41;50.41;50.36;50.46
08/13/10;15:10:01;373;50.4;50.48;50.4;50.53
08/13/10;15:20:01;446;50.49;50.43;50.4;50.5
08/13/10;15:30:01;408;50.44;50.36;50.35;50.45
08/13/10;15:40:01;479;50.36;50.4;50.34;50.46
08/13/10;15:50:01;533;50.4;50.38;50.35;50.42
08/13/10;16:00:01;623;50.38;50.44;50.36;50.47
08/13/10;16:10:01;778;50.44;50.42;50.38;50.45
08/13/10;16:20:01;799;50.4;50.45;50.38;50.46
08/13/10;16:30:01;863;50.45;50.46;50.43;50.52
08/13/10;16:40:01;931;50.44;50.59;50.44;50.6
08/13/10;16:50:01;1072;50.58;50.62;50.55;50.67
08/13/10;17:00:01;949;50.62;50.56;50.53;50.64
08/13/10;17:10:01;1073;50.56;50.69;50.55;50.71
08/13/10;17:20:01;967;50.68;50.7;50.62;50.72
08/13/10;17:30:01;1066;50.7;50.72;50.66;50.72
08/13/10;17:40:01;974;50.72;50.72;50.68;50.74
08/13/10;17:50:01;1217;50.73;50.67;50.64;50.75
08/13/10;18:00:01;1351;50.67;50.65;50.6;50.69
08/13/10;18:10:01;808;50.65;50.6;50.56;50.66
08/13/10;18:20:01;1168;50.6;50.62;50.52;50.63
08/13/10;18:30:01;1120;50.62;50.5;50.49;50.63
08/13/10;18:40:01;964;50.49;50.47;50.46;50.56
08/13/10;18:50:01;1239;50.47;50.46;50.4;50.49
08/13/10;19:00:01;1266;50.46;50.48;50.41;50.5
08/13/10;19:10:01;959;50.48;50.45;50.42;50.51
08/13/10;19:20:01;1355;50.46;50.49;50.44;50.52
08/13/10;19:30:01;1815;50.49;50.52;50.44;50.55
08/13/10;19:40:01;2432;50.51;50.48;50.41;50.54
08/13/10;19:50:01;2937;50.49;50.4;50.38;50.51
08/16/10;13:30:01;430;50.41;50.35;50.07;50.47
08/16/10;13:40:01;481;50.34;50.24;50.2;50.35
08/16/10;13:50:01;577;50.24;50.2;50.15;50.26
08/16/10;14:00:01;894;50.2;50.23;50.13;50.33
08/16/10;14:10:01;483;50.24;50.32;50.19;50.32
08/16/10;14:20:01;587;50.32;50.24;50.19;50.34
08/16/10;14:30:01;440;50.23;50.38;50.22;50.4
08/16/10;14:40:01;384;50.38;50.4;50.33;50.44
08/16/10;14:50:01;358;50.4;50.42;50.31;50.43
08/16/10;15:00:01;391;50.42;50.3;50.3;50.46
08/16/10;15:10:01;487;50.29;50.41;50.28;50.45
08/16/10;15:20:01;512;50.41;50.43;50.39;50.46
08/16/10;15:30:01;435;50.43;50.52;50.39;50.55
08/16/10;15:40:01;352;50.52;50.51;50.48;50.56
08/16/10;15:50:01;383;50.51;50.49;50.46;50.56
08/16/10;16:00:01;379;50.49;50.55;50.48;50.56
08/16/10;16:10:01;369;50.55;50.5;50.48;50.57
08/16/10;16:20:01;463;50.5;50.45;50.4;50.51
08/16/10;16:30:01;467;50.45;50.43;50.39;50.49
08/16/10;16:40:01;417;50.42;50.43;50.39;50.47
08/16/10;16:50:01;331;50.43;50.38;50.38;50.47
08/16/10;17:00:01;342;50.39;50.42;50.38;50.45
08/16/10;17:10:01;387;50.42;50.38;50.36;50.45
08/16/10;17:20:01;586;50.39;50.42;50.33;50.43
08/16/10;17:30:01;547;50.42;50.39;50.38;50.44
08/16/10;17:40:01;585;50.38;50.4;50.38;50.44
08/16/10;17:50:01;721;50.41;50.32;50.29;50.42
08/16/10;18:00:01;963;50.31;50.28;50.25;50.35
08/16/10;18:10:01;891;50.28;50.26;50.23;50.29
08/16/10;18:20:01;783;50.26;50.24;50.24;50.3
08/16/10;18:30:01;1247;50.25;50.34;50.23;50.37
08/16/10;18:40:01;1303;50.32;50.41;50.32;50.44
08/16/10;18:50:01;1455;50.42;50.23;50.21;50.43
08/16/10;19:00:01;1572;50.22;50.27;50.19;50.27
08/16/10;19:10:01;1579;50.26;50.22;50.21;50.3
08/16/10;19:20:01;1577;50.24;50.17;50.14;50.24
08/16/10;19:30:01;1966;50.18;50.3;50.14;50.34
08/16/10;19:40:01;2180;50.31;50.29;50.25;50.4
08/16/10;19:50:01;2620;50.29;50.41;50.22;50.42
08/17/10;13:30:01;711;50.41;51.1;50.4;51.25
08/17/10;13:40:01;638;51.1;51;50.96;51.16
08/17/10;13:50:01;682;51;51.14;50.99;51.25
08/17/10;14:00:01;719;51.14;51.33;51.14;51.37
08/17/10;14:10:01;646;51.33;51.3;51.18;51.34
08/17/10;14:20:01;597;51.31;51.29;51.25;51.41
08/17/10;14:30:01;581;51.3;51.32;51.21;51.38
08/17/10;14:40:01;524;51.34;51.28;51.25;51.36
08/17/10;14:50:01;654;51.27;51.43;51.25;51.49
08/17/10;15:00:01;623;51.43;51.47;51.42;51.57
08/17/10;15:10:01;411;51.48;51.52;51.45;51.62
08/17/10;15:20:01;365;51.53;51.45;51.42;51.57
08/17/10;15:30:01;467;51.45;51.45;51.44;51.52
08/17/10;15:40:01;509;51.45;51.41;51.39;51.5
08/17/10;15:50:01;660;51.41;51.42;51.39;51.44
08/17/10;16:00:01;820;51.42;51.41;51.36;51.47
08/17/10;16:10:01;803;51.41;51.37;51.33;51.42
08/17/10;16:20:01;635;51.35;51.39;51.34;51.42
08/17/10;16:30:01;829;51.39;51.45;51.36;51.46
08/17/10;16:40:01;681;51.45;51.39;51.36;51.47
08/17/10;16:50:01;633;51.38;51.37;51.34;51.39
08/17/10;17:00:01;666;51.37;51.37;51.35;51.42
08/17/10;17:10:01;1068;51.36;51.47;51.33;51.5
08/17/10;17:20:01;922;51.47;51.45;51.36;51.49
08/17/10;17:30:01;923;51.45;51.42;51.37;51.46
08/17/10;17:40:01;924;51.42;51.48;51.4;51.52
08/17/10;17:50:01;1052;51.48;51.35;51.33;51.52
08/17/10;18:00:01;1016;51.36;51.32;51.24;51.37
08/17/10;18:10:01;1261;51.31;51.32;51.23;51.36
08/17/10;18:20:01;1053;51.32;51.37;51.3;51.49
08/17/10;18:30:01;938;51.34;51.26;51.24;51.36
08/17/10;18:40:01;1316;51.25;51.31;51.18;51.34
08/17/10;18:50:01;1053;51.31;51.33;51.3;51.37
08/17/10;19:00:01;1206;51.33;51.33;51.29;51.36
08/17/10;19:10:01;1313;51.31;51.25;51.24;51.35
08/17/10;19:20:01;1252;51.25;51.28;51.23;51.33
08/17/10;19:30:01;1804;51.27;51.21;51.18;51.29
08/17/10;19:40:01;2350;51.2;51.15;51.12;51.27
08/17/10;19:50:01;3066;51.13;51.02;51;51.16
08/18/10;13:30:01;547;51.01;50.68;50.64;51.01
08/18/10;13:40:01;465;50.68;50.77;50.65;50.81
08/18/10;13:50:01;527;50.78;50.76;50.6;50.79
08/18/10;14:00:01;648;50.76;50.81;50.72;50.88
08/18/10;14:10:01;673;50.8;50.84;50.78;50.89
08/18/10;14:20:01;622;50.85;50.83;50.77;50.87
08/18/10;14:30:01;514;50.84;50.89;50.8;50.9
08/18/10;14:40:01;468;50.88;50.94;50.82;50.95
08/18/10;14:50:01;644;50.94;51.03;50.86;51.03
08/18/10;15:00:01;725;51.02;51.1;50.97;51.28
08/18/10;15:10:01;649;51.1;51.04;51;51.17
08/18/10;15:20:01;539;51.06;50.97;50.94;51.09
08/18/10;15:30:01;502;50.98;50.97;50.96;51.03
08/18/10;15:40:01;717;50.98;50.98;50.87;51
08/18/10;15:50:01;525;50.98;50.95;50.93;51.02
08/18/10;16:00:01;609;50.96;50.96;50.93;51.01
08/18/10;16:10:01;470;50.96;51.01;50.94;51.02
08/18/10;16:20:01;481;51.02;50.97;50.93;51.05
08/18/10;16:30:01;432;50.98;50.94;50.9;51.02
08/18/10;16:40:01;518;50.93;51.01;50.9;51.02
08/18/10;16:50:01;596;51.01;51.01;50.97;51.04
08/18/10;17:00:01;1211;51.01;51.04;50.96;51.06
08/18/10;17:10:01;1178;51.05;51.1;51.03;51.13
08/18/10;17:20:01;1196;51.1;51.13;51.05;51.16
08/18/10;17:30:01;1501;51.13;51.19;51.1;51.26
08/18/10;17:40:01;1221;51.19;51.24;51.15;51.27
08/18/10;17:50:01;943;51.25;51.24;51.22;51.34
08/18/10;18:00:01;922;51.23;51.11;51.1;51.28
08/18/10;18:10:01;928;51.11;51.05;51.03;51.14
08/18/10;18:20:01;1212;51.05;51;50.92;51.06
08/18/10;18:30:01;855;51;50.97;50.96;51.08
08/18/10;18:40:01;1165;50.98;51.01;50.93;51.05
08/18/10;18:50:01;1101;51.01;50.98;50.97;51.05
08/18/10;19:00:01;1158;50.96;51.01;50.96;51.05
08/18/10;19:10:01;1640;51.01;50.97;50.89;51.02
08/18/10;19:20:01;1344;50.97;50.92;50.91;51
08/18/10;19:30:01;1575;50.92;50.99;50.88;51.01
08/18/10;19:40:01;1934;50.99;50.95;50.92;51.02
08/18/10;19:50:01;2581;50.95;50.87;50.87;50.98
08/19/10;13:30:01;568;50.88;50.89;50.64;50.95
08/19/10;13:40:01;426;50.9;50.89;50.85;50.96
08/19/10;13:50:01;557;50.9;50.88;50.71;50.91
08/19/10;14:00:01;602;50.88;50.63;50.56;50.91
08/19/10;14:10:01;489;50.62;50.79;50.59;50.82
08/19/10;14:20:01;553;50.79;50.68;50.64;50.81
08/19/10;14:30:01;449;50.68;50.62;50.61;50.74
08/19/10;14:40:01;562;50.62;50.67;50.55;50.71
08/19/10;14:50:01;496;50.68;50.65;50.53;50.68
08/19/10;15:00:01;466;50.66;50.53;50.49;50.67
08/19/10;15:10:01;399;50.53;50.49;50.46;50.54
08/19/10;15:20:01;422;50.51;50.51;50.47;50.55
08/19/10;15:30:01;830;50.51;50.33;50.3;50.53
08/19/10;15:40:01;510;50.33;50.31;50.24;50.36
08/19/10;15:50:01;552;50.31;50.17;50.11;50.32
08/19/10;16:00:01;522;50.18;50.17;50.13;50.25
08/19/10;16:10:01;468;50.17;50.26;50.11;50.29
08/19/10;16:20:01;438;50.26;50.36;50.26;50.38
08/19/10;16:30:01;477;50.38;50.38;50.34;50.42
08/19/10;16:40:01;893;50.37;50.33;50.3;50.41
08/19/10;16:50:01;968;50.32;50.32;50.25;50.34
08/19/10;17:00:01;892;50.32;50.27;50.25;50.35
08/19/10;17:10:01;1085;50.29;50.31;50.26;50.36
08/19/10;17:20:01;899;50.3;50.36;50.26;50.38
08/19/10;17:30:01;1039;50.36;50.31;50.29;50.39
08/19/10;17:40:01;1074;50.32;50.25;50.21;50.33
08/19/10;17:50:01;997;50.26;50.16;50.15;50.28
08/19/10;18:00:01;1270;50.16;50.14;50.11;50.21
08/19/10;18:10:01;1122;50.12;50.18;50.12;50.25
08/19/10;18:20:01;1022;50.18;50.25;50.17;50.28
08/19/10;18:30:01;1359;50.24;50.18;50.17;50.31
08/19/10;18:40:01;1551;50.17;50.12;50.1;50.2
08/19/10;18:50:01;1655;50.12;50.17;50.11;50.19
08/19/10;19:00:01;1585;50.16;50.15;50.09;50.18
08/19/10;19:10:01;1759;50.15;50.25;50.12;50.27
08/19/10;19:20:01;2069;50.24;50.11;50.11;50.3
08/19/10;19:30:01;2151;50.11;50.06;50.05;50.21
08/19/10;19:40:01;2721;50.06;50.01;49.98;50.1
08/19/10;19:50:01;3593;50.02;50.05;50;50.11
08/20/10;13:30:01;563;50.06;50.22;50.02;50.26
08/20/10;13:40:01;591;50.22;50.18;50.13;50.28
08/20/10;13:50:01;578;50.18;50.35;50.18;50.37
08/20/10;14:00:01;436;50.35;50.4;50.34;50.47
08/20/10;14:10:01;487;50.39;50.36;50.26;50.42
08/20/10;14:20:01;456;50.38;50.36;50.31;50.4
08/20/10;14:30:01;700;50.36;50.4;50.36;50.48
08/20/10;14:40:01;456;50.39;50.39;50.35;50.46
08/20/10;14:50:01;499;50.39;50.3;50.3;50.4
08/20/10;15:00:01;555;50.3;50.36;50.27;50.36
08/20/10;15:10:01;522;50.36;50.3;50.28;50.38
08/20/10;15:20:01;521;50.3;50.22;50.2;50.39
08/20/10;15:30:01;530;50.22;50.12;50.09;50.3
08/20/10;15:40:01;681;50.12;50.17;50.11;50.31
08/20/10;15:50:01;871;50.17;50.12;50.1;50.19
