DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03/19/10;18:10:01;784;66.83;66.79;66.76;66.86
03/19/10;18:20:01;1078;66.79;66.84;66.78;66.88
03/19/10;18:30:01;938;66.84;66.76;66.74;66.85
03/19/10;18:40:01;892;66.76;66.79;66.73;66.8
03/19/10;18:50:01;975;66.8;66.69;66.68;66.81
03/19/10;19:00:01;970;66.69;66.73;66.67;66.77
03/19/10;19:10:01;906;66.72;66.73;66.69;66.76
03/19/10;19:20:01;1107;66.73;66.62;66.61;66.75
03/19/10;19:30:01;1110;66.61;66.58;66.42;66.63
03/19/10;19:40:01;1193;66.56;66.81;66.53;66.81
03/19/10;19:50:01;955;66.81;66.96;66.72;66.96
03/19/10;20:00:01;241;66.93;67.05;66.9;67.06
03/19/10;20:10:01;185;67.04;67.03;67.02;67.07
03/19/10;20:20:01;165;67.02;67.05;67.02;67.06
03/19/10;20:30:01;185;67.05;67.04;67.01;67.06
03/19/10;20:40:01;176;67.03;67.03;67.02;67.06
03/19/10;20:50:01;166;67.03;67.06;67.02;67.06
03/22/10;14:30:01;2185;67.02;66.74;66.73;67.02
03/22/10;14:40:01;2243;66.75;66.88;66.74;66.96
03/22/10;14:50:01;1975;66.88;66.94;66.87;66.97
03/22/10;15:00:01;2017;66.94;67.06;66.92;67.08
03/22/10;15:10:01;1678;67.05;66.92;66.92;67.06
03/22/10;15:20:01;1236;66.93;66.96;66.9;66.99
03/22/10;15:30:01;1591;66.96;66.91;66.84;66.96
03/22/10;15:40:01;1404;66.91;66.92;66.82;66.94
03/22/10;15:50:01;1224;66.92;66.9;66.86;66.94
03/22/10;16:00:01;1597;66.9;66.95;66.81;66.95
03/22/10;16:10:01;1462;66.94;66.94;66.9;67.04
03/22/10;16:20:01;1261;66.93;67;66.9;67.04
03/22/10;16:30:01;1854;67;67.02;67;67.1
03/22/10;16:40:01;1183;67.02;66.99;66.94;67.05
03/22/10;16:50:01;1302;67;66.99;66.94;67.03
03/22/10;17:00:01;1645;67;67.11;66.99;67.19
03/22/10;17:10:01;1064;67.13;67.15;67.09;67.17
03/22/10;17:20:01;1059;67.14;67.01;66.99;67.16
03/22/10;17:30:01;776;66.99;67.01;66.98;67.03
03/22/10;17:40:01;989;67;67.03;66.99;67.03
03/22/10;17:50:01;910;67.04;67.06;67.01;67.11
03/22/10;18:00:01;1224;67.05;67;66.98;67.07
03/22/10;18:10:01;2895;67;67.02;66.94;67.03
03/22/10;18:20:01;1491;67.03;66.98;66.96;67.05
03/22/10;18:30:01;1243;66.99;67.1;66.98;67.12
03/22/10;18:40:01;1429;67.1;67.16;67.1;67.18
03/22/10;18:50:01;1376;67.15;67.13;67.1;67.18
03/22/10;19:00:01;1535;67.14;67.09;67.06;67.16
03/22/10;19:10:01;1478;67.09;67.1;67.03;67.11
03/22/10;19:20:01;1392;67.1;67.07;67.06;67.12
03/22/10;19:30:01;1730;67.06;67.05;67.02;67.09
03/22/10;19:40:01;2589;67.05;67;66.97;67.07
03/22/10;19:50:01;2728;67;66.99;66.97;67.02
03/22/10;20:00:01;171;66.99;66.96;66.95;67.01
03/22/10;20:10:01;146;66.96;66.97;66.95;66.98
03/22/10;20:20:01;153;66.98;66.98;66.96;66.99
03/22/10;20:30:01;151;66.98;66.96;66.95;66.98
03/22/10;20:40:01;154;66.95;66.97;66.95;66.99
03/22/10;20:50:01;153;66.96;66.99;66.95;66.99
03/23/10;14:30:01;2286;66.95;66.57;66.56;66.95
03/23/10;14:40:01;2312;66.57;66.67;66.55;66.7
03/23/10;14:50:01;2404;66.67;66.55;66.51;66.71
03/23/10;15:00:01;2368;66.56;66.52;66.45;66.59
03/23/10;15:10:01;1983;66.51;66.59;66.45;66.64
03/23/10;15:20:01;1823;66.58;66.61;66.53;66.63
03/23/10;15:30:01;1633;66.61;66.65;66.57;66.66
03/23/10;15:40:01;2182;66.65;66.61;66.56;66.7
03/23/10;15:50:01;1435;66.61;66.61;66.58;66.65
03/23/10;16:00:01;1627;66.62;66.64;66.54;66.68
03/23/10;16:10:01;1842;66.64;66.64;66.6;66.72
03/23/10;16:20:01;1282;66.63;66.72;66.62;66.72
03/23/10;16:30:01;1648;66.71;66.67;66.64;66.74
03/23/10;16:40:01;1066;66.67;66.63;66.63;66.7
03/23/10;16:50:01;923;66.64;66.67;66.61;66.71
03/23/10;17:00:01;1268;66.68;66.78;66.68;66.79
03/23/10;17:10:01;1169;66.78;66.73;66.71;66.8
03/23/10;17:20:01;1315;66.73;66.75;66.7;66.77
03/23/10;17:30:01;875;66.74;66.69;66.69;66.76
03/23/10;17:40:01;1104;66.7;66.64;66.6;66.72
03/23/10;17:50:01;1107;66.64;66.64;66.63;66.71
03/23/10;18:00:01;1183;66.65;66.69;66.64;66.71
03/23/10;18:10:01;1151;66.69;66.79;66.66;66.79
03/23/10;18:20:01;1297;66.79;66.73;66.72;66.8
03/23/10;18:30:01;1681;66.74;66.75;66.7;66.79
03/23/10;18:40:01;1420;66.74;66.74;66.7;66.78
03/23/10;18:50:01;1544;66.74;66.66;66.65;66.75
03/23/10;19:00:01;1714;66.67;66.73;66.62;66.76
03/23/10;19:10:01;2347;66.74;66.84;66.7;66.87
03/23/10;19:20:01;1850;66.84;66.84;66.78;66.87
03/23/10;19:30:01;1889;66.84;66.89;66.8;66.96
03/23/10;19:40:01;1991;66.89;66.87;66.84;66.95
03/23/10;19:50:01;2339;66.87;66.92;66.86;66.98
03/23/10;20:00:01;192;66.93;66.95;66.91;66.97
03/23/10;20:10:01;165;66.96;66.94;66.93;66.97
03/23/10;20:20:01;137;66.95;66.94;66.93;66.96
03/23/10;20:30:01;152;66.94;66.95;66.93;66.98
03/23/10;20:40:01;147;66.95;66.96;66.93;66.96
03/23/10;20:50:01;156;66.96;66.96;66.94;66.97
03/24/10;14:30:01;3173;66.92;66.77;66.5;66.92
03/24/10;14:40:01;2288;66.76;66.78;66.66;66.79
03/24/10;14:50:01;1898;66.78;66.75;66.72;66.79
03/24/10;15:00:01;2039;66.72;66.56;66.53;66.75
03/24/10;15:10:01;2801;66.56;66.43;66.39;66.6
03/24/10;15:20:01;2212;66.43;66.49;66.38;66.53
03/24/10;15:30:01;1584;66.49;66.48;66.43;66.53
03/24/10;15:40:01;1440;66.5;66.37;66.36;66.52
03/24/10;15:50:01;1429;66.38;66.43;66.37;66.48
03/24/10;16:00:01;1633;66.42;66.43;66.4;66.49
03/24/10;16:10:01;1295;66.43;66.43;66.39;66.47
03/24/10;16:20:01;1439;66.43;66.52;66.39;66.54
03/24/10;16:30:01;1584;66.54;66.53;66.5;66.63
03/24/10;16:40:01;1652;66.53;66.66;66.51;66.7
03/24/10;16:50:01;1247;66.67;66.59;66.54;66.69
03/24/10;17:00:01;2021;66.59;66.47;66.38;66.59
03/24/10;17:10:01;1938;66.47;66.41;66.4;66.53
03/24/10;17:20:01;1369;66.41;66.48;66.4;66.5
03/24/10;17:30:01;1219;66.49;66.51;66.45;66.58
03/24/10;17:40:01;1579;66.51;66.41;66.4;66.53
03/24/10;17:50:01;1798;66.41;66.46;66.34;66.47
03/24/10;18:00:01;1274;66.46;66.44;66.39;66.48
03/24/10;18:10:01;1730;66.44;66.52;66.43;66.54
03/24/10;18:20:01;1415;66.52;66.55;66.48;66.6
03/24/10;18:30:01;1806;66.56;66.57;66.52;66.62
