DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/28/09;18:10:01;986;27.47;27.43;27.41;27.5
10/28/09;18:20:01;1079;27.43;27.38;27.31;27.45
10/28/09;18:30:01;1033;27.37;27.35;27.32;27.43
10/28/09;18:40:01;1201;27.35;27.39;27.32;27.44
10/28/09;18:50:01;1167;27.39;27.41;27.38;27.46
10/28/09;19:00:01;1286;27.41;27.45;27.38;27.46
10/28/09;19:10:01;1279;27.45;27.41;27.33;27.46
10/28/09;19:20:01;1161;27.42;27.35;27.33;27.43
10/28/09;19:30:01;1293;27.35;27.27;27.25;27.39
10/28/09;19:40:01;1316;27.28;27.32;27.25;27.32
10/28/09;19:50:01;1348;27.31;27.24;27.22;27.31
10/29/09;13:30:01;1333;27.24;27.48;27.23;27.54
10/29/09;13:40:01;1186;27.48;27.31;27.26;27.57
10/29/09;13:50:01;1419;27.31;27.23;27.18;27.37
10/29/09;14:00:01;1310;27.23;27.35;27.18;27.36
10/29/09;14:10:01;1084;27.35;27.5;27.34;27.5
10/29/09;14:20:01;1214;27.5;27.57;27.48;27.65
10/29/09;14:30:01;1208;27.58;27.73;27.54;27.78
10/29/09;14:40:01;1365;27.74;27.75;27.67;27.75
10/29/09;14:50:01;1214;27.74;27.8;27.71;27.81
10/29/09;15:00:01;1392;27.8;27.8;27.78;27.89
10/29/09;15:10:01;1112;27.8;27.73;27.7;27.87
10/29/09;15:20:01;1183;27.72;27.81;27.7;27.81
10/29/09;15:30:01;1195;27.81;27.8;27.76;27.85
10/29/09;15:40:01;982;27.8;27.76;27.74;27.83
10/29/09;15:50:01;1083;27.75;27.82;27.72;27.82
10/29/09;16:00:01;1074;27.83;27.82;27.77;27.86
10/29/09;16:10:01;810;27.83;27.85;27.79;27.85
10/29/09;16:20:01;1164;27.84;27.91;27.82;27.96
10/29/09;16:30:01;1099;27.9;27.91;27.87;27.97
10/29/09;16:40:01;1067;27.91;27.97;27.89;28.02
10/29/09;16:50:01;802;27.97;27.94;27.91;27.98
10/29/09;17:00:01;955;27.94;27.96;27.91;27.99
10/29/09;17:10:01;884;27.96;27.97;27.89;27.99
10/29/09;17:20:01;905;27.97;28.01;27.95;28.05
10/29/09;17:30:01;1022;28;27.99;27.95;28.02
10/29/09;17:40:01;1258;27.99;28;27.92;28.01
10/29/09;17:50:01;1273;27.98;28.02;27.98;28.05
10/29/09;18:00:01;1057;28.03;27.97;27.96;28.04
10/29/09;18:10:01;971;27.97;27.99;27.95;28.05
10/29/09;18:20:01;1023;28;28.06;27.94;28.08
10/29/09;18:30:01;1098;28.06;28.06;28.03;28.1
10/29/09;18:40:01;1286;28.06;28.09;28.05;28.13
10/29/09;18:50:01;1158;28.1;28.11;28.05;28.13
10/29/09;19:00:01;1345;28.1;28.14;28.04;28.17
10/29/09;19:10:01;1179;28.13;28.09;28.06;28.16
10/29/09;19:20:01;1265;28.09;28.06;28.04;28.14
10/29/09;19:30:01;989;28.07;28.09;28.02;28.11
10/29/09;19:40:01;1349;28.1;28.09;28.04;28.14
10/29/09;19:50:01;1566;28.11;28.11;28.06;28.15
10/30/09;13:30:01;1344;28.14;28.17;27.99;28.25
10/30/09;13:40:01;1629;28.17;28.13;28.01;28.3
10/30/09;13:50:01;1373;28.13;28.06;27.98;28.16
10/30/09;14:00:01;1401;28.06;28.26;28.03;28.3
10/30/09;14:10:01;1399;28.27;28.17;28.16;28.31
10/30/09;14:20:01;1203;28.17;28.08;28.04;28.22
10/30/09;14:30:01;1345;28.08;28;27.9;28.09
10/30/09;14:40:01;1279;28;28.04;27.9;28.06
10/30/09;14:50:01;1240;28.06;28.08;27.99;28.14
10/30/09;15:00:01;1364;28.09;27.95;27.95;28.1
10/30/09;15:10:01;1293;27.95;27.9;27.86;28
10/30/09;15:20:01;1190;27.89;27.82;27.81;27.93
10/30/09;15:30:01;1136;27.83;27.8;27.72;27.91
10/30/09;15:40:01;1430;27.79;27.67;27.61;27.8
10/30/09;15:50:01;1203;27.68;27.65;27.54;27.69
10/30/09;16:00:01;1191;27.65;27.7;27.57;27.72
10/30/09;16:10:01;1129;27.7;27.61;27.57;27.75
10/30/09;16:20:01;1244;27.6;27.46;27.43;27.69
10/30/09;16:30:01;1405;27.46;27.59;27.46;27.61
10/30/09;16:40:01;1483;27.57;27.4;27.36;27.62
10/30/09;16:50:01;1465;27.43;27.46;27.37;27.6
10/30/09;17:00:01;1327;27.47;27.5;27.44;27.58
10/30/09;17:10:01;1512;27.52;27.48;27.46;27.61
10/30/09;17:20:01;1536;27.48;27.44;27.35;27.49
10/30/09;17:30:01;1141;27.43;27.41;27.31;27.46
10/30/09;17:40:01;1115;27.4;27.46;27.39;27.52
10/30/09;17:50:01;1158;27.46;27.4;27.38;27.47
10/30/09;18:00:01;1369;27.4;27.61;27.38;27.66
10/30/09;18:10:01;1347;27.61;27.64;27.56;27.69
10/30/09;18:20:01;1166;27.64;27.57;27.53;27.68
10/30/09;18:30:01;1339;27.6;27.53;27.42;27.6
10/30/09;18:40:01;1294;27.53;27.5;27.46;27.56
10/30/09;18:50:01;1323;27.51;27.52;27.43;27.55
10/30/09;19:00:01;1749;27.52;27.31;27.28;27.52
10/30/09;19:10:01;1618;27.31;27.33;27.31;27.44
10/30/09;19:20:01;1701;27.32;27.47;27.32;27.49
10/30/09;19:30:01;1612;27.48;27.49;27.45;27.6
10/30/09;19:40:01;1569;27.5;27.58;27.47;27.6
10/30/09;19:50:01;1764;27.58;27.38;27.34;27.61
11/02/09;13:30:01;162;27.38;27.39;27.35;27.4
11/02/09;13:40:01;159;27.38;27.37;27.35;27.39
11/02/09;13:50:01;146;27.38;27.36;27.35;27.38
11/02/09;14:00:01;155;27.36;27.37;27.35;27.38
11/02/09;14:10:01;151;27.38;27.37;27.36;27.4
11/02/09;14:20:01;154;27.37;27.38;27.35;27.39
