DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/31/10;14:10:01;133;21.45;21.44;21.43;21.45
05/31/10;14:20:01;157;21.44;21.43;21.43;21.45
05/31/10;14:30:01;159;21.44;21.44;21.43;21.45
05/31/10;14:40:01;154;21.43;21.44;21.43;21.45
05/31/10;14:50:01;142;21.43;21.44;21.43;21.45
05/31/10;15:00:01;146;21.44;21.44;21.43;21.45
05/31/10;15:10:01;163;21.45;21.45;21.43;21.45
05/31/10;15:20:01;148;21.44;21.45;21.43;21.45
05/31/10;15:30:01;143;21.44;21.44;21.43;21.45
05/31/10;15:40:01;158;21.45;21.44;21.43;21.45
05/31/10;15:50:01;153;21.44;21.45;21.43;21.45
05/31/10;16:00:01;150;21.44;21.45;21.43;21.45
05/31/10;16:10:01;144;21.45;21.45;21.43;21.45
05/31/10;16:20:01;140;21.45;21.45;21.43;21.45
05/31/10;16:30:01;144;21.44;21.45;21.43;21.45
05/31/10;16:40:01;156;21.44;21.43;21.43;21.45
05/31/10;16:50:01;154;21.44;21.43;21.43;21.45
05/31/10;17:00:01;153;21.44;21.44;21.43;21.45
05/31/10;17:10:01;157;21.43;21.45;21.43;21.45
05/31/10;17:20:01;128;21.45;21.43;21.43;21.45
05/31/10;17:30:01;147;21.44;21.44;21.43;21.45
05/31/10;17:40:01;154;21.44;21.44;21.43;21.45
05/31/10;17:50:01;142;21.44;21.44;21.43;21.45
05/31/10;18:00:01;153;21.45;21.43;21.43;21.45
05/31/10;18:10:01;137;21.43;21.44;21.43;21.45
05/31/10;18:20:01;163;21.45;21.43;21.43;21.45
05/31/10;18:30:01;149;21.44;21.44;21.43;21.45
05/31/10;18:40:01;141;21.44;21.45;21.43;21.45
05/31/10;18:50:01;154;21.44;21.45;21.43;21.45
05/31/10;19:00:01;154;21.44;21.45;21.43;21.45
05/31/10;19:10:01;152;21.44;21.43;21.43;21.45
05/31/10;19:20:01;143;21.43;21.44;21.43;21.45
05/31/10;19:30:01;146;21.45;21.44;21.43;21.45
05/31/10;19:40:01;139;21.45;21.45;21.43;21.45
05/31/10;19:50:01;148;21.44;21.45;21.43;21.45
06/01/10;13:30:01;1362;21.41;21.14;21.02;21.41
06/01/10;13:40:01;1501;21.16;21.35;21.1;21.36
06/01/10;13:50:01;1550;21.33;21.2;21.17;21.36
06/01/10;14:00:01;1703;21.2;21.3;21.18;21.35
06/01/10;14:10:01;1718;21.3;21.32;21.23;21.33
06/01/10;14:20:01;2121;21.33;21.48;21.28;21.55
06/01/10;14:30:01;1838;21.47;21.37;21.34;21.54
06/01/10;14:40:01;1875;21.37;21.32;21.3;21.41
06/01/10;14:50:01;1617;21.34;21.26;21.25;21.36
06/01/10;15:00:01;1558;21.26;21.3;21.23;21.35
06/01/10;15:10:01;1568;21.3;21.27;21.23;21.35
06/01/10;15:20:01;1582;21.27;21.27;21.21;21.31
06/01/10;15:30:01;1579;21.27;21.26;21.22;21.32
06/01/10;15:40:01;1657;21.24;21.18;21.14;21.27
06/01/10;15:50:01;1910;21.18;21.13;21.09;21.22
06/01/10;16:00:01;1664;21.13;21.14;21.1;21.22
06/01/10;16:10:01;1665;21.15;21.21;21.14;21.24
06/01/10;16:20:01;1425;21.21;21.26;21.17;21.3
06/01/10;16:30:01;1345;21.27;21.29;21.24;21.32
06/01/10;16:40:01;1136;21.32;21.27;21.24;21.32
06/01/10;16:50:01;984;21.28;21.25;21.23;21.33
06/01/10;17:00:01;1120;21.27;21.28;21.21;21.3
06/01/10;17:10:01;1461;21.27;21.29;21.25;21.36
06/01/10;17:20:01;1503;21.34;21.43;21.3;21.48
06/01/10;17:30:01;1560;21.45;21.39;21.33;21.49
06/01/10;17:40:01;1167;21.39;21.41;21.32;21.42
06/01/10;17:50:01;1674;21.39;21.28;21.27;21.41
06/01/10;18:00:01;2044;21.28;21.19;21.16;21.3
06/01/10;18:10:01;2057;21.2;21.22;21.15;21.26
06/01/10;18:20:01;2103;21.23;21.26;21.18;21.31
06/01/10;18:30:01;1531;21.26;21.3;21.23;21.35
06/01/10;18:40:01;1134;21.29;21.31;21.26;21.34
06/01/10;18:50:01;1598;21.32;21.24;21.2;21.34
06/01/10;19:00:01;1800;21.24;21.18;21.16;21.29
06/01/10;19:10:01;1466;21.19;21.15;21.11;21.24
06/01/10;19:20:01;2241;21.13;21.06;21.01;21.17
06/01/10;19:30:01;1676;21.09;21.17;21.07;21.22
06/01/10;19:40:01;1924;21.18;21.06;21.02;21.19
06/01/10;19:50:01;2462;21.05;20.93;20.9;21.09
06/02/10;13:30:01;1847;20.96;20.73;20.7;21.05
06/02/10;13:40:01;1770;20.72;20.73;20.7;20.81
06/02/10;13:50:01;1589;20.73;20.82;20.69;20.86
06/02/10;14:00:01;1998;20.82;20.96;20.76;21.01
06/02/10;14:10:01;1675;20.94;20.83;20.77;20.99
06/02/10;14:20:01;1500;20.83;20.81;20.8;20.92
06/02/10;14:30:01;1675;20.8;20.86;20.79;20.88
06/02/10;14:40:01;1773;20.83;20.75;20.72;20.87
06/02/10;14:50:01;1509;20.75;20.76;20.71;20.82
06/02/10;15:00:01;1778;20.76;20.9;20.75;20.91
06/02/10;15:10:01;1361;20.9;20.92;20.86;20.96
06/02/10;15:20:01;1357;20.92;20.91;20.87;20.95
06/02/10;15:30:01;1210;20.91;20.93;20.87;20.95
06/02/10;15:40:01;1336;20.92;20.95;20.9;21
06/02/10;15:50:01;1031;20.97;20.94;20.89;20.99
06/02/10;16:00:01;1061;20.94;20.93;20.9;20.97
06/02/10;16:10:01;931;20.92;20.89;20.87;20.96
06/02/10;16:20:01;1102;20.89;20.91;20.87;20.97
06/02/10;16:30:01;971;20.93;20.95;20.9;20.98
06/02/10;16:40:01;811;20.96;20.97;20.93;21.02
06/02/10;16:50:01;1004;20.97;20.96;20.9;21
06/02/10;17:00:01;1048;20.96;20.92;20.89;20.98
06/02/10;17:10:01;1103;20.92;20.89;20.87;20.97
06/02/10;17:20:01;1125;20.87;20.91;20.87;20.97
06/02/10;17:30:01;977;20.91;20.94;20.88;20.98
06/02/10;17:40:01;1083;20.94;20.9;20.88;20.97
06/02/10;17:50:01;1169;20.9;20.88;20.85;20.92
06/02/10;18:00:01;1303;20.88;20.93;20.78;20.94
06/02/10;18:10:01;993;20.93;20.89;20.87;20.96
06/02/10;18:20:01;1280;20.89;20.89;20.85;20.95
06/02/10;18:30:01;1243;20.89;20.93;20.87;20.96
06/02/10;18:40:01;1648;20.93;21;20.93;21.04
06/02/10;18:50:01;1568;21;21.06;20.99;21.1
06/02/10;19:00:01;1943;21.04;21.03;21;21.11
06/02/10;19:10:01;1386;21.05;21.11;21.03;21.15
06/02/10;19:20:01;1736;21.14;21.16;21.04;21.21
06/02/10;19:30:01;2247;21.17;21.15;21.08;21.22
06/02/10;19:40:01;2020;21.13;21.13;21.09;21.17
06/02/10;19:50:01;2963;21.16;21.26;21.1;21.27
06/03/10;13:30:01;2205;21.34;21.27;21.18;21.5
