DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03/19/10;18:10:01;289;560;559.61;558.31;561.12
03/19/10;18:20:01;366;559.62;559.81;558.14;561.45
03/19/10;18:30:01;421;558.8;559.73;558.32;560.99
03/19/10;18:40:01;492;559.73;559.63;558.22;560.93
03/19/10;18:50:01;436;559.63;559.62;558.22;561.01
03/19/10;19:00:01;481;559.62;559.97;558.32;561.28
03/19/10;19:10:01;509;559.93;559.95;558.42;561.25
03/19/10;19:20:01;513;559.88;559.42;558.12;561.22
03/19/10;19:30:01;656;559.42;558.13;556.01;560.27
03/19/10;19:40:01;643;558.13;559.6;556.83;560.87
03/19/10;19:50:01;642;559.59;559.47;557.49;561.09
03/19/10;20:00:01;244;559.47;560.01;558.63;561.31
03/19/10;20:10:01;96;560.01;560.01;558.57;561.26
03/19/10;20:20:01;33;560.01;560;558.59;560.78
03/19/10;20:30:01;50;560;559.99;558.89;561.13
03/19/10;20:40:01;44;559.99;559.12;558.74;561.04
03/19/10;20:50:01;33;560;560;558.73;560.6
03/22/10;14:30:01;887;561.88;559.97;558.17;563.07
03/22/10;14:40:01;578;559.97;561.67;558.43;561.67
03/22/10;14:50:01;363;560.09;560.73;559;561.96
03/22/10;15:00:01;481;561.95;560.97;559.07;562.14
03/22/10;15:10:01;576;560.9;559.1;557.69;562.41
03/22/10;15:20:01;596;559.11;559.87;558.14;561.13
03/22/10;15:30:01;317;559.86;559.68;558.49;561.31
03/22/10;15:40:01;342;560.88;559.56;558.44;561.88
03/22/10;15:50:01;424;560.25;560.4;559.06;561.62
03/22/10;16:00:01;517;560.4;559.45;558.18;561.28
03/22/10;16:10:01;308;559.45;559.6;558.2;561.56
03/22/10;16:20:01;388;559.6;560.91;558.61;561.41
03/22/10;16:30:01;362;560.32;559.88;558.98;561.93
03/22/10;16:40:01;278;559.88;560.38;558.79;561.65
03/22/10;16:50:01;283;560.38;560.69;558.99;561.65
03/22/10;17:00:01;469;560.33;560.3;558.77;561.81
03/22/10;17:10:01;477;560.3;560.79;558.38;561.52
03/22/10;17:20:01;764;560.79;557.05;555.58;560.82
03/22/10;17:30:01;613;557.05;555.39;555.15;558.34
03/22/10;17:40:01;616;556.11;556.4;554.97;557.75
03/22/10;17:50:01;701;556.4;555.49;554.27;557.4
03/22/10;18:00:01;1137;555.49;558.27;553.48;559.2
03/22/10;18:10:01;855;557.7;558.25;555.6;559.5
03/22/10;18:20:01;929;557.94;560.02;556.87;561.43
03/22/10;18:30:01;1522;560.02;564.51;558.78;565.06
03/22/10;18:40:01;2566;563.91;564.74;561.01;566.85
03/22/10;18:50:01;1928;565.24;562.8;560.84;567.03
03/22/10;19:00:01;1568;563.74;560.89;560.89;565.24
03/22/10;19:10:01;1189;562.08;564.4;560.54;565.27
03/22/10;19:20:01;1308;563.26;559.74;559.56;564.36
03/22/10;19:30:01;2137;559.33;557.91;555.21;561.05
03/22/10;19:40:01;1514;557.91;557.34;556.05;559.44
03/22/10;19:50:01;1748;557.5;557.73;555.86;559.49
03/22/10;20:00:01;180;558.97;557.5;556.08;559.18
03/22/10;20:10:01;35;557.5;557.49;556.48;558.05
03/22/10;20:20:01;20;557.49;557.5;557.48;558.23
03/22/10;20:30:01;27;557.5;557.5;556.1;558.84
03/22/10;20:40:01;21;557.5;557.52;556.33;557.52
03/22/10;20:50:01;51;557.52;558.09;556.38;558.72
03/23/10;14:30:01;1499;548.31;545.66;544.22;549.25
03/23/10;14:40:01;1919;545.8;542.52;542.52;547.19
03/23/10;14:50:01;1361;542.55;545.54;542;547.01
03/23/10;15:00:01;1418;545.45;546.66;543.71;547.86
03/23/10;15:10:01;1299;546.66;549.66;545.15;550.02
03/23/10;15:20:01;1083;548.53;548;546.16;550.21
03/23/10;15:30:01;791;549.29;546.9;545.62;549.38
03/23/10;15:40:01;714;547.03;547.03;545.51;548.62
03/23/10;15:50:01;637;546.91;546.7;545.33;548.3
03/23/10;16:00:01;723;546.7;548.33;545.84;549.06
03/23/10;16:10:01;710;548.21;549.58;547.2;550.34
03/23/10;16:20:01;923;549.37;548.1;547.79;550.86
03/23/10;16:30:01;833;548.69;549.43;546.75;550.6
03/23/10;16:40:01;931;549.43;547.27;546.01;550.5
03/23/10;16:50:01;690;546.67;546.95;545.87;548.87
03/23/10;17:00:01;736;546.95;547;544.85;548.2
03/23/10;17:10:01;467;547;546.42;545.25;548.8
03/23/10;17:20:01;527;546.68;544.47;544.26;547.5
03/23/10;17:30:01;622;545.67;545.26;544.19;546.97
03/23/10;17:40:01;734;545.8;546.21;543.65;547.5
03/23/10;17:50:01;766;546.21;545.08;544.39;548.38
03/23/10;18:00:01;970;545.36;544.1;542.64;546.86
03/23/10;18:10:01;604;545.34;544.86;542.74;545.81
03/23/10;18:20:01;610;544.55;546.2;543.68;547.46
03/23/10;18:30:01;864;546.2;546.15;544.62;547.6
03/23/10;18:40:01;787;546.1;546.67;545.2;548.2
03/23/10;18:50:01;572;546.68;546.7;544.63;548.1
03/23/10;19:00:01;892;546.66;547.87;545.55;549.11
03/23/10;19:10:01;785;547.87;547.34;546.21;549.57
03/23/10;19:20:01;539;548.13;547.9;546.33;549.42
03/23/10;19:30:01;817;547.9;547.03;545.65;548.6
03/23/10;19:40:01;795;547.1;547.31;545.67;549.06
03/23/10;19:50:01;1561;547.32;548.89;546.38;550.42
03/23/10;20:00:01;163;548.86;549;547.46;550.19
03/23/10;20:10:01;30;549;548.99;548.09;550.38
03/23/10;20:20:01;11;548.99;548.99;548.66;549.01
03/23/10;20:30:01;18;548.99;549.01;548.41;550.26
