DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/21/10;17:30:01;1437;42.42;42.36;42.32;42.42
10/21/10;17:40:01;2124;42.37;42.26;42.21;42.38
10/21/10;17:50:01;2731;42.26;41.98;41.93;42.27
10/21/10;18:00:01;2445;41.97;42.1;41.92;42.12
10/21/10;18:10:01;1984;42.1;42.11;42.03;42.14
10/21/10;18:20:01;1753;42.11;42.07;42.03;42.13
10/21/10;18:30:01;2178;42.08;42.13;42.05;42.17
10/21/10;18:40:01;2449;42.14;42.09;42.07;42.16
10/21/10;18:50:01;2367;42.08;42.16;42.04;42.19
10/21/10;19:00:01;2224;42.16;42.19;42.14;42.23
10/21/10;19:10:01;2332;42.19;42.28;42.15;42.33
10/21/10;19:20:01;2597;42.28;42.37;42.27;42.4
10/21/10;19:30:01;2530;42.38;42.41;42.33;42.42
10/21/10;19:40:01;2614;42.4;42.37;42.29;42.43
10/21/10;19:50:01;2732;42.38;42.43;42.32;42.43
10/22/10;13:30:01;1974;42.4;42.75;42.29;42.79
10/22/10;13:40:01;1801;42.76;42.79;42.66;42.8
10/22/10;13:50:01;1839;42.77;42.67;42.63;42.8
10/22/10;14:00:01;2004;42.67;42.61;42.53;42.69
10/22/10;14:10:01;1918;42.62;42.64;42.53;42.67
10/22/10;14:20:01;1659;42.64;42.73;42.61;42.74
10/22/10;14:30:01;1642;42.73;42.73;42.71;42.78
10/22/10;14:40:01;1551;42.74;42.76;42.69;42.79
10/22/10;14:50:01;1849;42.76;42.86;42.75;42.92
10/22/10;15:00:01;1605;42.86;42.85;42.83;42.92
10/22/10;15:10:01;1501;42.85;42.8;42.74;42.89
10/22/10;15:20:01;1527;42.8;42.83;42.79;42.86
10/22/10;15:30:01;1289;42.82;42.83;42.79;42.87
10/22/10;15:40:01;1241;42.83;42.74;42.74;42.85
10/22/10;15:50:01;1235;42.74;42.72;42.69;42.77
10/22/10;16:00:01;1014;42.73;42.75;42.68;42.77
10/22/10;16:10:01;1094;42.74;42.77;42.69;42.77
10/22/10;16:20:01;1004;42.77;42.79;42.74;42.8
10/22/10;16:30:01;850;42.79;42.83;42.76;42.86
10/22/10;16:40:01;765;42.83;42.85;42.81;42.87
