DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
10/21/10;17:30:01;1035;139.92;139.77;139.68;139.97
10/21/10;17:40:01;1427;139.77;139.45;139.33;139.87
10/21/10;17:50:01;1690;139.45;138.56;138.49;139.5
10/21/10;18:00:01;1642;138.56;138.72;138.4;138.74
10/21/10;18:10:01;1404;138.72;138.91;138.59;138.93
10/21/10;18:20:01;1133;138.91;138.93;138.8;139.02
10/21/10;18:30:01;1251;138.9;138.93;138.83;139.03
10/21/10;18:40:01;1248;138.93;139.01;138.86;139.1
10/21/10;18:50:01;1452;138.98;139;138.95;139.2
10/21/10;19:00:01;1278;139;138.98;138.98;139.17
10/21/10;19:10:01;1549;138.98;139.41;138.96;139.5
10/21/10;19:20:01;1625;139.4;139.67;139.34;139.74
10/21/10;19:30:01;1391;139.67;139.6;139.49;139.83
10/21/10;19:40:01;1541;139.6;139.59;139.45;139.72
10/21/10;19:50:01;1939;139.58;139.79;139.44;139.79
10/22/10;13:30:01;806;139.89;140.49;139.86;140.49
10/22/10;13:40:01;1130;140.51;140.71;140.22;140.76
10/22/10;13:50:01;1225;140.71;140.43;140.38;140.74
10/22/10;14:00:01;1522;140.4;140.35;140.06;140.42
10/22/10;14:10:01;1367;140.33;140.43;140.15;140.5
10/22/10;14:20:01;1272;140.41;140.5;140.39;140.51
10/22/10;14:30:01;1076;140.49;140.33;140.32;140.54
10/22/10;14:40:01;1160;140.32;140.19;140.16;140.39
10/22/10;14:50:01;1043;140.17;140.1;140.07;140.24
10/22/10;15:00:01;923;140.1;140.03;139.94;140.16
10/22/10;15:10:01;723;140.03;140.11;139.9;140.17
10/22/10;15:20:01;738;140.13;140.05;139.97;140.19
10/22/10;15:30:01;861;140.08;140.09;140;140.23
10/22/10;15:40:01;913;140.09;139.82;139.82;140.18
10/22/10;15:50:01;944;139.82;139.84;139.74;139.95
10/22/10;16:00:01;872;139.82;140.06;139.8;140.08
10/22/10;16:10:01;670;140.04;140.04;139.98;140.09
10/22/10;16:20:01;683;140.03;140.17;139.98;140.22
10/22/10;16:30:01;549;140.18;140.03;140.03;140.21
10/22/10;16:40:01;478;140.03;140.01;139.97;140.07
10/22/10;16:50:01;636;139.99;140.17;139.99;140.17
10/22/10;17:00:01;534;140.16;140.22;140.08;140.24
10/22/10;17:10:01;722;140.22;140.21;140.18;140.3
10/22/10;17:20:01;747;140.21;140.11;140.07;140.23
10/22/10;17:30:01;618;140.11;140.09;140.07;140.16
10/22/10;17:40:01;596;140.09;140.01;139.99;140.12
10/22/10;17:50:01;873;139.99;139.83;139.81;140.04
10/22/10;18:00:01;782;139.81;139.9;139.76;139.95
10/22/10;18:10:01;772;139.9;139.9;139.82;139.98
10/22/10;18:20:01;1004;139.9;139.91;139.77;139.96
10/22/10;18:30:01;983;139.89;139.79;139.73;139.9
10/22/10;18:40:01;807;139.79;139.72;139.72;139.84
10/22/10;18:50:01;1185;139.74;139.72;139.57;139.81
10/22/10;19:00:01;970;139.7;139.72;139.62;139.81
10/22/10;19:10:01;593;139.73;139.69;139.61;139.75
10/22/10;19:20:01;1065;139.7;139.69;139.61;139.77
10/22/10;19:30:01;952;139.69;139.64;139.62;139.76
10/22/10;19:40:01;1343;139.64;139.58;139.5;139.67
10/22/10;19:50:01;1971;139.59;139.72;139.46;139.72
10/25/10;13:30:01;1447;139.82;140.92;139.82;140.92
10/25/10;13:40:01;1300;140.91;140.89;140.64;141.1
10/25/10;13:50:01;1067;140.89;141.06;140.89;141.22
10/25/10;14:00:01;2219;141.08;140.91;140.87;141.41
10/25/10;14:10:01;1942;140.92;141;140.74;141.11
10/25/10;14:20:01;1195;140.99;141.01;140.98;141.11
10/25/10;14:30:01;1758;141.03;140.72;140.66;141.09
10/25/10;14:40:01;1676;140.72;140.47;140.39;140.78
10/25/10;14:50:01;1482;140.47;140.38;140.36;140.58
10/25/10;15:00:01;1513;140.37;140.41;140.26;140.43
10/25/10;15:10:01;1578;140.42;140.59;140.35;140.65
10/25/10;15:20:01;1067;140.59;140.6;140.53;140.69
10/25/10;15:30:01;1179;140.59;140.49;140.4;140.69
10/25/10;15:40:01;905;140.47;140.4;140.33;140.49
10/25/10;15:50:01;859;140.41;140.36;140.33;140.48
