DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03/19/10;18:10:01;1094;47.5;47.48;47.45;47.52
03/19/10;18:20:01;1440;47.48;47.51;47.48;47.54
03/19/10;18:30:01;1198;47.51;47.47;47.45;47.52
03/19/10;18:40:01;1048;47.48;47.5;47.45;47.51
03/19/10;18:50:01;1310;47.5;47.44;47.44;47.51
03/19/10;19:00:01;1167;47.46;47.49;47.44;47.51
03/19/10;19:10:01;957;47.49;47.51;47.46;47.51
03/19/10;19:20:01;1108;47.51;47.45;47.45;47.52
03/19/10;19:30:01;1288;47.45;47.37;47.31;47.46
03/19/10;19:40:01;1290;47.37;47.45;47.32;47.46
03/19/10;19:50:01;1044;47.45;47.47;47.43;47.49
03/19/10;20:00:01;1310;47.47;47.48;47.47;47.5
03/19/10;20:10:01;580;47.49;47.47;47.47;47.51
03/19/10;20:20:01;113;47.47;47.5;47.47;47.51
03/19/10;20:30:01;114;47.5;47.5;47.47;47.51
03/19/10;20:40:01;128;47.5;47.49;47.47;47.51
03/19/10;20:50:01;106;47.48;47.48;47.47;47.51
03/22/10;14:30:01;3487;47.51;47.79;47.51;47.87
03/22/10;14:40:01;3144;47.8;47.82;47.78;47.86
03/22/10;14:50:01;4058;47.82;47.83;47.8;47.88
03/22/10;15:00:01;4129;47.83;47.88;47.82;47.9
03/22/10;15:10:01;3140;47.87;47.82;47.81;47.9
03/22/10;15:20:01;2361;47.82;47.83;47.8;47.87
03/22/10;15:30:01;2931;47.83;47.84;47.79;47.85
03/22/10;15:40:01;2252;47.85;47.83;47.79;47.86
03/22/10;15:50:01;2329;47.83;47.88;47.8;47.89
03/22/10;16:00:01;2705;47.88;47.81;47.79;47.89
03/22/10;16:10:01;3100;47.81;47.79;47.78;47.86
03/22/10;16:20:01;2515;47.8;47.84;47.79;47.86
03/22/10;16:30:01;3623;47.84;47.88;47.84;47.91
03/22/10;16:40:01;2117;47.87;47.9;47.84;47.9
03/22/10;16:50:01;2636;47.9;47.92;47.86;47.93
03/22/10;17:00:01;3539;47.92;47.98;47.77;48.01
03/22/10;17:10:01;2506;47.98;48;47.96;48.02
03/22/10;17:20:01;2353;48;47.95;47.94;48.02
03/22/10;17:30:01;1896;47.94;47.94;47.93;47.99
03/22/10;17:40:01;1945;47.94;47.96;47.92;47.99
03/22/10;17:50:01;1686;47.97;47.92;47.92;47.99
03/22/10;18:00:01;2545;47.92;47.92;47.88;47.94
03/22/10;18:10:01;2553;47.92;47.96;47.88;47.97
03/22/10;18:20:01;2231;47.96;47.97;47.93;47.99
03/22/10;18:30:01;3008;47.97;48.04;47.97;48.05
03/22/10;18:40:01;3747;48.04;48.1;48.02;48.1
03/22/10;18:50:01;3098;48.09;48.03;48.01;48.12
03/22/10;19:00:01;3262;48.04;48.01;47.99;48.08
03/22/10;19:10:01;3161;48;48.05;47.99;48.07
03/22/10;19:20:01;2572;48.04;48;48;48.09
03/22/10;19:30:01;3659;48.01;47.96;47.93;48.03
03/22/10;19:40:01;3014;47.96;47.98;47.95;48
03/22/10;19:50:01;4022;47.99;47.93;47.89;48
