DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/11/10;18:10:01;1953;60.54;60.56;60.48;60.65
08/11/10;18:20:01;2037;60.56;60.57;60.53;60.63
08/11/10;18:30:01;2508;60.57;60.56;60.47;60.59
08/11/10;18:40:01;2412;60.56;60.54;60.45;60.6
08/11/10;18:50:01;2694;60.54;60.49;60.35;60.55
08/11/10;19:00:01;2524;60.48;60.5;60.42;60.53
08/11/10;19:10:01;2582;60.49;60.38;60.36;60.54
08/11/10;19:20:01;2568;60.37;60.49;60.36;60.51
08/11/10;19:30:01;3305;60.49;60.58;60.49;60.67
08/11/10;19:40:01;3682;60.59;60.48;60.38;60.61
08/11/10;19:50:01;3995;60.49;60.44;60.37;60.54
08/12/10;13:30:01;1060;60.4;59.99;59.69;60.4
08/12/10;13:40:01;1170;60;60.28;59.99;60.29
08/12/10;13:50:01;861;60.27;60.22;60.03;60.29
08/12/10;14:00:01;773;60.23;60.42;60.22;60.45
08/12/10;14:10:01;1025;60.42;60.34;60.27;60.48
08/12/10;14:20:01;819;60.34;60.24;60.21;60.46
08/12/10;14:30:01;564;60.24;60.38;60.2;60.38
08/12/10;14:40:01;827;60.38;60.49;60.36;60.56
08/12/10;14:50:01;841;60.49;60.33;60.31;60.5
08/12/10;15:00:01;925;60.33;60.17;60.15;60.36
08/12/10;15:10:01;622;60.17;60.3;60.12;60.3
08/12/10;15:20:01;642;60.28;60.42;60.24;60.45
08/12/10;15:30:01;1636;60.43;60.38;60.35;60.47
08/12/10;15:40:01;1284;60.38;60.32;60.29;60.39
08/12/10;15:50:01;1222;60.31;60.31;60.3;60.4
08/12/10;16:00:01;1839;60.31;60.37;60.24;60.38
08/12/10;16:10:01;1308;60.36;60.38;60.32;60.42
08/12/10;16:20:01;1132;60.39;60.37;60.36;60.43
08/12/10;16:30:01;1184;60.37;60.44;60.34;60.44
08/12/10;16:40:01;1202;60.44;60.44;60.39;60.49
08/12/10;16:50:01;1092;60.44;60.45;60.35;60.46
08/12/10;17:00:01;1190;60.43;60.32;60.31;60.47
08/12/10;17:10:01;1184;60.33;60.35;60.3;60.37
08/12/10;17:20:01;1360;60.35;60.26;60.21;60.36
08/12/10;17:30:01;1021;60.26;60.2;60.19;60.27
08/12/10;17:40:01;1205;60.2;60.1;60.09;60.21
08/12/10;17:50:01;1555;60.1;60.04;60;60.13
08/12/10;18:00:01;1270;60.05;60.13;60;60.14
08/12/10;18:10:01;1324;60.13;60.1;60.08;60.17
08/12/10;18:20:01;1524;60.1;60.04;59.99;60.12
08/12/10;18:30:01;1563;60.04;60.01;59.94;60.06
08/12/10;18:40:01;1554;60;60.03;59.97;60.07
08/12/10;18:50:01;1645;60.04;60.15;60;60.19
08/12/10;19:00:01;2056;60.14;60.34;60.14;60.36
08/12/10;19:10:01;2279;60.34;60.2;60.2;60.42
08/12/10;19:20:01;2073;60.2;60.26;60.18;60.27
08/12/10;19:30:01;1940;60.26;60.35;60.25;60.43
08/12/10;19:40:01;2472;60.35;60.29;60.13;60.35
08/12/10;19:50:01;2886;60.29;60.23;60.2;60.33
08/13/10;13:30:01;626;60.23;60.27;59.96;60.36
08/13/10;13:40:01;586;60.29;60.26;60.21;60.39
08/13/10;13:50:01;716;60.27;60.39;60.19;60.4
08/13/10;14:00:01;577;60.39;60.35;60.3;60.44
08/13/10;14:10:01;444;60.36;60.26;60.22;60.36
08/13/10;14:20:01;439;60.26;60.14;60.05;60.26
08/13/10;14:30:01;509;60.13;60.15;60.02;60.18
08/13/10;14:40:01;491;60.15;60.05;60.05;60.2
08/13/10;14:50:01;481;60.05;59.96;59.89;60.06
08/13/10;15:00:01;455;59.97;60.02;59.93;60.06
08/13/10;15:10:01;528;60.01;59.95;59.9;60.03
08/13/10;15:20:01;628;59.94;59.95;59.9;60
08/13/10;15:30:01;707;59.95;59.84;59.8;59.98
08/13/10;15:40:01;886;59.83;59.89;59.81;59.89
08/13/10;15:50:01;719;59.89;59.93;59.83;59.95
08/13/10;16:00:01;895;59.93;60.04;59.92;60.05
08/13/10;16:10:01;1220;60.04;60.03;59.97;60.07
08/13/10;16:20:01;1036;60.03;60.15;59.99;60.16
08/13/10;16:30:01;1138;60.15;60.19;60.11;60.19
08/13/10;16:40:01;952;60.19;60.24;60.16;60.24
08/13/10;16:50:01;1139;60.23;60.21;60.17;60.25
08/13/10;17:00:01;1082;60.21;60.23;60.19;60.29
08/13/10;17:10:01;969;60.23;60.28;60.21;60.31
08/13/10;17:20:01;994;60.28;60.23;60.21;60.29
08/13/10;17:30:01;1094;60.23;60.24;60.17;60.26
08/13/10;17:40:01;1066;60.24;60.22;60.18;60.27
08/13/10;17:50:01;1122;60.21;60.21;60.17;60.23
08/13/10;18:00:01;1023;60.21;60.2;60.17;60.24
08/13/10;18:10:01;973;60.2;60.15;60.12;60.21
08/13/10;18:20:01;1399;60.14;60.15;60.05;60.16
08/13/10;18:30:01;1322;60.15;60.04;60.01;60.16
08/13/10;18:40:01;1207;60.04;60.04;60.01;60.13
08/13/10;18:50:01;1540;60.04;60.04;60;60.06
08/13/10;19:00:01;1384;60.03;60.12;60.01;60.14
08/13/10;19:10:01;1159;60.11;60.06;60.03;60.12
08/13/10;19:20:01;1651;60.05;60.07;60.04;60.12
08/13/10;19:30:01;1938;60.07;60.06;59.99;60.08
08/13/10;19:40:01;3023;60.06;59.94;59.89;60.08
08/13/10;19:50:01;3620;59.93;59.93;59.89;60.05
08/16/10;13:30:01;565;59.94;59.4;59.26;59.94
08/16/10;13:40:01;717;59.39;59.53;59.39;59.57
08/16/10;13:50:01;848;59.52;59.45;59.41;59.56
08/16/10;14:00:01;1129;59.45;59.56;59.31;59.58
08/16/10;14:10:01;578;59.55;59.79;59.51;59.8
08/16/10;14:20:01;662;59.79;59.82;59.75;59.86
08/16/10;14:30:01;649;59.84;59.87;59.81;59.89
08/16/10;14:40:01;658;59.87;59.89;59.85;59.94
08/16/10;14:50:01;512;59.89;59.91;59.83;59.93
08/16/10;15:00:01;669;59.9;59.79;59.74;59.93
08/16/10;15:10:01;812;59.76;59.77;59.75;59.84
08/16/10;15:20:01;847;59.76;59.76;59.72;59.81
08/16/10;15:30:01;773;59.75;59.94;59.74;59.94
08/16/10;15:40:01;659;59.95;59.9;59.88;59.98
08/16/10;15:50:01;701;59.89;59.93;59.87;59.95
08/16/10;16:00:01;654;59.93;59.97;59.9;59.99
08/16/10;16:10:01;669;59.97;59.88;59.83;59.98
08/16/10;16:20:01;713;59.88;59.91;59.83;59.94
08/16/10;16:30:01;717;59.9;59.92;59.86;59.94
08/16/10;16:40:01;620;59.92;59.87;59.84;59.94
08/16/10;16:50:01;636;59.87;59.94;59.82;59.95
08/16/10;17:00:01;591;59.94;59.91;59.87;59.97
08/16/10;17:10:01;591;59.92;59.93;59.9;59.96
08/16/10;17:20:01;786;59.92;59.93;59.87;59.97
08/16/10;17:30:01;929;59.93;59.87;59.86;59.99
08/16/10;17:40:01;877;59.88;59.85;59.81;59.91
08/16/10;17:50:01;2402;59.85;59.83;59.77;59.85
08/16/10;18:00:01;3058;59.83;59.79;59.76;59.86
08/16/10;18:10:01;2595;59.78;59.76;59.69;59.78
08/16/10;18:20:01;1882;59.76;59.78;59.74;59.84
08/16/10;18:30:01;3032;59.77;59.8;59.74;59.82
08/16/10;18:40:01;3033;59.8;59.86;59.73;59.88
08/16/10;18:50:01;2784;59.85;59.61;59.6;59.86
08/16/10;19:00:01;2406;59.6;59.66;59.42;59.69
08/16/10;19:10:01;2328;59.67;59.71;59.58;59.71
08/16/10;19:20:01;2215;59.7;59.75;59.66;59.81
08/16/10;19:30:01;2101;59.75;59.78;59.7;59.81
08/16/10;19:40:01;2733;59.76;59.82;59.74;59.91
08/16/10;19:50:01;3029;59.83;59.85;59.78;59.88
