DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/11/10;18:10:01;899;21.3;21.35;21.29;21.37
08/11/10;18:20:01;1081;21.35;21.36;21.31;21.4
08/11/10;18:30:01;1118;21.36;21.26;21.25;21.37
08/11/10;18:40:01;1164;21.29;21.29;21.22;21.31
08/11/10;18:50:01;1538;21.27;21.29;21.23;21.32
08/11/10;19:00:01;1383;21.28;21.31;21.25;21.33
08/11/10;19:10:01;1421;21.31;21.29;21.26;21.35
08/11/10;19:20:01;1377;21.29;21.29;21.26;21.35
08/11/10;19:30:01;1896;21.29;21.32;21.27;21.4
08/11/10;19:40:01;2164;21.32;21.28;21.24;21.35
08/11/10;19:50:01;2425;21.28;21.24;21.18;21.32
08/12/10;13:30:01;567;21.24;21.49;21.23;21.6
08/12/10;13:40:01;564;21.48;21.45;21.39;21.58
08/12/10;13:50:01;603;21.44;21.41;21.34;21.5
08/12/10;14:00:01;573;21.41;21.57;21.4;21.58
08/12/10;14:10:01;536;21.58;21.6;21.53;21.65
08/12/10;14:20:01;553;21.61;21.56;21.54;21.68
08/12/10;14:30:01;547;21.56;21.72;21.54;21.73
08/12/10;14:40:01;750;21.72;21.73;21.69;21.8
08/12/10;14:50:01;669;21.73;21.76;21.68;21.81
08/12/10;15:00:01;860;21.75;21.72;21.69;21.81
08/12/10;15:10:01;510;21.7;21.7;21.65;21.77
08/12/10;15:20:01;489;21.71;21.86;21.66;21.86
08/12/10;15:30:01;1226;21.87;21.74;21.73;21.89
08/12/10;15:40:01;1490;21.74;21.71;21.66;21.78
08/12/10;15:50:01;1404;21.7;21.63;21.62;21.75
08/12/10;16:00:01;1531;21.63;21.57;21.54;21.64
08/12/10;16:10:01;1088;21.55;21.58;21.51;21.64
08/12/10;16:20:01;974;21.58;21.55;21.52;21.62
08/12/10;16:30:01;805;21.52;21.59;21.51;21.62
08/12/10;16:40:01;798;21.59;21.61;21.55;21.66
08/12/10;16:50:01;883;21.64;21.65;21.6;21.71
08/12/10;17:00:01;920;21.65;21.6;21.57;21.7
08/12/10;17:10:01;670;21.57;21.62;21.56;21.65
08/12/10;17:20:01;1017;21.62;21.61;21.57;21.66
08/12/10;17:30:01;821;21.59;21.58;21.55;21.63
08/12/10;17:40:01;868;21.55;21.49;21.47;21.61
