DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03/19/10;18:10:01;601;52.46;52.53;52.44;52.54
03/19/10;18:20:01;748;52.53;52.6;52.53;52.61
03/19/10;18:30:01;690;52.6;52.51;52.51;52.62
03/19/10;18:40:01;612;52.51;52.58;52.5;52.61
03/19/10;18:50:01;740;52.59;52.55;52.54;52.6
03/19/10;19:00:01;631;52.54;52.6;52.54;52.61
03/19/10;19:10:01;601;52.59;52.54;52.51;52.6
03/19/10;19:20:01;671;52.54;52.51;52.48;52.56
03/19/10;19:30:01;816;52.51;52.3;52.29;52.52
03/19/10;19:40:01;944;52.31;52.44;52.22;52.45
03/19/10;19:50:01;848;52.44;52.45;52.38;52.47
03/19/10;20:00:01;162;52.46;52.48;52.44;52.5
03/19/10;20:10:01;158;52.48;52.49;52.47;52.51
03/19/10;20:20:01;154;52.48;52.51;52.46;52.51
03/19/10;20:30:01;156;52.5;52.5;52.48;52.51
03/19/10;20:40:01;158;52.49;52.48;52.47;52.51
03/19/10;20:50:01;152;52.48;52.51;52.47;52.51
03/22/10;14:30:01;992;52.54;52.61;52.54;52.66
03/22/10;14:40:01;1180;52.61;52.6;52.58;52.69
03/22/10;14:50:01;965;52.6;52.59;52.59;52.66
03/22/10;15:00:01;1514;52.59;52.71;52.58;52.75
03/22/10;15:10:01;1028;52.69;52.71;52.68;52.76
03/22/10;15:20:01;1096;52.71;52.59;52.59;52.73
03/22/10;15:30:01;1188;52.61;52.63;52.57;52.66
03/22/10;15:40:01;842;52.62;52.69;52.6;52.7
03/22/10;15:50:01;760;52.68;52.76;52.67;52.77
03/22/10;16:00:01;1101;52.76;52.73;52.69;52.77
03/22/10;16:10:01;864;52.73;52.74;52.7;52.79
03/22/10;16:20:01;835;52.75;52.79;52.73;52.81
03/22/10;16:30:01;1059;52.79;52.79;52.77;52.85
03/22/10;16:40:01;696;52.8;52.81;52.77;52.84
03/22/10;16:50:01;892;52.81;52.82;52.78;52.87
03/22/10;17:00:01;1240;52.82;52.95;52.82;52.95
03/22/10;17:10:01;652;52.95;52.92;52.89;52.95
03/22/10;17:20:01;717;52.93;52.89;52.87;52.95
03/22/10;17:30:01;840;52.89;52.9;52.88;52.94
03/22/10;17:40:01;743;52.9;52.93;52.87;52.95
03/22/10;17:50:01;603;52.92;52.89;52.86;52.96
03/22/10;18:00:01;890;52.89;52.91;52.84;52.92
03/22/10;18:10:01;697;52.92;52.91;52.87;52.94
03/22/10;18:20:01;888;52.9;52.93;52.9;52.95
03/22/10;18:30:01;937;52.93;52.96;52.92;52.98
03/22/10;18:40:01;1017;52.95;52.98;52.94;52.98
03/22/10;18:50:01;979;52.97;52.96;52.94;52.99
03/22/10;19:00:01;922;52.97;52.96;52.94;52.99
03/22/10;19:10:01;1029;52.96;52.99;52.94;53.01
03/22/10;19:20:01;1078;52.99;52.98;52.97;53.01
03/22/10;19:30:01;1348;52.99;52.99;52.97;53.01
03/22/10;19:40:01;1590;52.99;53.03;52.98;53.05
03/22/10;19:50:01;2057;53.03;52.96;52.89;53.05
03/22/10;20:00:01;181;52.96;52.96;52.92;52.97
03/22/10;20:10:01;157;52.96;52.94;52.93;52.97
03/22/10;20:20:01;153;52.95;52.95;52.94;52.96
03/22/10;20:30:01;154;52.95;52.94;52.93;52.97
03/22/10;20:40:01;166;52.95;52.94;52.94;52.96
03/22/10;20:50:01;138;52.95;52.95;52.94;52.96
03/23/10;14:30:01;1227;52.98;52.9;52.87;53.03
03/23/10;14:40:01;1141;52.9;52.87;52.85;52.94
03/23/10;14:50:01;1320;52.87;52.82;52.79;52.95
03/23/10;15:00:01;1320;52.82;52.79;52.73;52.83
03/23/10;15:10:01;1309;52.78;52.74;52.71;52.81
03/23/10;15:20:01;1049;52.75;52.79;52.72;52.8
03/23/10;15:30:01;999;52.79;52.78;52.73;52.82
03/23/10;15:40:01;1237;52.78;52.79;52.74;52.83
03/23/10;15:50:01;988;52.79;52.88;52.77;52.88
03/23/10;16:00:01;1095;52.87;52.86;52.79;52.89
03/23/10;16:10:01;1174;52.87;52.87;52.84;52.93
03/23/10;16:20:01;718;52.88;52.88;52.86;52.91
03/23/10;16:30:01;1008;52.88;52.81;52.79;52.92
03/23/10;16:40:01;681;52.81;52.81;52.79;52.86
03/23/10;16:50:01;627;52.81;52.82;52.8;52.87
03/23/10;17:00:01;667;52.83;52.91;52.82;52.94
03/23/10;17:10:01;647;52.91;52.9;52.88;52.94
03/23/10;17:20:01;810;52.9;52.87;52.86;52.94
03/23/10;17:30:01;522;52.88;52.9;52.85;52.91
03/23/10;17:40:01;767;52.91;52.87;52.84;52.92
03/23/10;17:50:01;822;52.88;52.85;52.83;52.9
03/23/10;18:00:01;647;52.85;52.93;52.84;52.93
03/23/10;18:10:01;658;52.91;52.87;52.84;52.93
03/23/10;18:20:01;753;52.87;52.89;52.85;52.92
03/23/10;18:30:01;822;52.9;52.87;52.86;52.93
03/23/10;18:40:01;912;52.87;52.91;52.85;52.94
03/23/10;18:50:01;908;52.9;52.91;52.86;52.93
03/23/10;19:00:01;1127;52.92;52.98;52.85;53
03/23/10;19:10:01;1462;52.99;53.05;52.96;53.06
03/23/10;19:20:01;1179;53.05;53.08;53;53.1
03/23/10;19:30:01;1441;53.08;53.1;53.03;53.15
03/23/10;19:40:01;1474;53.11;53.14;53.07;53.16
03/23/10;19:50:01;1948;53.14;53.15;53.08;53.17
03/23/10;20:00:01;165;53.15;53.14;53.12;53.17
03/23/10;20:10:01;155;53.15;53.17;53.13;53.17
