DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
01/07/10;19:00:01;890;129.38;129.53;129.34;129.57
01/07/10;19:10:01;636;129.52;129.45;129.39;129.59
01/07/10;19:20:01;695;129.45;129.54;129.44;129.66
01/07/10;19:30:01;778;129.55;129.7;129.46;129.78
01/07/10;19:40:01;598;129.7;129.64;129.53;129.7
01/07/10;19:50:01;665;129.65;129.6;129.56;129.76
01/07/10;20:00:01;1027;129.6;129.39;129.35;129.62
01/07/10;20:10:01;895;129.39;129.44;129.35;129.49
01/07/10;20:20:01;868;129.42;129.31;129.26;129.5
01/07/10;20:30:01;1025;129.31;129.4;129.3;129.49
01/07/10;20:40:01;1056;129.38;129.38;129.36;129.6
01/07/10;20:50:01;1225;129.38;129.51;129.37;129.56
01/08/10;14:30:01;942;129.5;129.22;129.1;129.87
01/08/10;14:40:01;677;129.21;129.38;129.03;129.4
01/08/10;14:50:01;626;129.37;129.61;129.19;129.61
01/08/10;15:00:01;816;129.59;129.67;129.4;129.69
01/08/10;15:10:01;991;129.67;129.93;129.67;129.98
01/08/10;15:20:01;879;129.93;129.98;129.9;130.07
01/08/10;15:30:01;646;129.97;129.89;129.8;129.98
01/08/10;15:40:01;660;129.88;129.84;129.72;130
01/08/10;15:50:01;522;129.85;130.11;129.81;130.11
01/08/10;16:00:01;646;130.12;129.94;129.91;130.2
01/08/10;16:10:01;642;129.93;129.96;129.9;130.04
01/08/10;16:20:01;751;129.94;129.99;129.93;130.18
01/08/10;16:30:01;601;129.99;130.11;129.93;130.14
01/08/10;16:40:01;575;130.1;130.39;130.07;130.4
01/08/10;16:50:01;605;130.39;130.4;130.2;130.44
01/08/10;17:00:01;634;130.43;130.36;130.26;130.45
01/08/10;17:10:01;506;130.36;130.23;130.19;130.43
01/08/10;17:20:01;489;130.22;130.24;130.14;130.27
01/08/10;17:30:01;425;130.25;130.24;130.15;130.26
01/08/10;17:40:01;511;130.2;130.15;130.1;130.23
01/08/10;17:50:01;541;130.15;130.16;130.12;130.33
01/08/10;18:00:01;546;130.15;130.15;130.05;130.2
01/08/10;18:10:01;518;130.15;130.16;130.13;130.28
01/08/10;18:20:01;527;130.15;130.31;130.13;130.34
01/08/10;18:30:01;632;130.33;130.43;130.28;130.47
01/08/10;18:40:01;521;130.41;130.46;130.35;130.49
01/08/10;18:50:01;630;130.45;130.46;130.41;130.57
01/08/10;19:00:01;547;130.46;130.52;130.38;130.57
01/08/10;19:10:01;502;130.53;130.6;130.49;130.65
01/08/10;19:20:01;540;130.59;130.51;130.46;130.64
01/08/10;19:30:01;572;130.51;130.49;130.38;130.6
01/08/10;19:40:01;586;130.5;130.4;130.36;130.55
01/08/10;19:50:01;572;130.41;130.42;130.34;130.5
01/08/10;20:00:01;712;130.41;130.46;130.33;130.47
01/08/10;20:10:01;585;130.46;130.55;130.46;130.59
01/08/10;20:20:01;556;130.55;130.5;130.48;130.57
01/08/10;20:30:01;752;130.49;130.63;130.4;130.64
01/08/10;20:40:01;1136;130.63;130.73;130.53;130.78
01/08/10;20:50:01;1217;130.75;130.82;130.67;130.92
01/11/10;14:30:01;636;130.81;129.61;129.57;131.06
01/11/10;14:40:01;581;129.62;129.33;129.2;129.62
01/11/10;14:50:01;491;129.34;129.3;129.2;129.4
01/11/10;15:00:01;618;129.29;128.74;128.66;129.43
01/11/10;15:10:01;557;128.72;129.04;128.67;129.17
01/11/10;15:20:01;693;129.04;129.3;128.96;129.32
01/11/10;15:30:01;558;129.3;129.35;129.2;129.44
01/11/10;15:40:01;443;129.36;129.5;129.32;129.54
01/11/10;15:50:01;416;129.49;129.41;129.33;129.53
01/11/10;16:00:01;456;129.39;129.26;129.18;129.39
01/11/10;16:10:01;480;129.26;129.23;129.1;129.26
01/11/10;16:20:01;443;129.23;129.09;129.07;129.32
01/11/10;16:30:01;506;129.12;129.3;129.07;129.3
01/11/10;16:40:01;433;129.28;129.28;129.14;129.3
01/11/10;16:50:01;498;129.28;129.49;129.28;129.54
01/11/10;17:00:01;722;129.49;129.65;129.49;129.7
01/11/10;17:10:01;589;129.65;129.59;129.55;129.7
01/11/10;17:20:01;662;129.6;129.64;129.56;129.7
01/11/10;17:30:01;479;129.66;129.57;129.53;129.68
01/11/10;17:40:01;551;129.58;129.42;129.24;129.58
01/11/10;17:50:01;512;129.38;129.41;129.38;129.5
01/11/10;18:00:01;440;129.4;129.44;129.31;129.47
01/11/10;18:10:01;428;129.43;129.32;129.26;129.47
01/11/10;18:20:01;568;129.33;129.15;129.13;129.34
01/11/10;18:30:01;517;129.14;129.11;129.05;129.16
01/11/10;18:40:01;507;129.11;129.14;129.09;129.27
01/11/10;18:50:01;476;129.15;129.23;129.11;129.26
01/11/10;19:00:01;483;129.23;129.1;129.1;129.32
