DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
01/07/10;19:00:01;1194;69.62;69.69;69.6;69.7
01/07/10;19:10:01;976;69.68;69.72;69.67;69.75
01/07/10;19:20:01;1123;69.72;69.67;69.64;69.77
01/07/10;19:30:01;1461;69.67;69.78;69.64;69.82
01/07/10;19:40:01;1075;69.8;69.77;69.74;69.85
01/07/10;19:50:01;1137;69.78;69.73;69.68;69.78
01/07/10;20:00:01;1760;69.74;69.71;69.57;69.74
01/07/10;20:10:01;1464;69.71;69.78;69.67;69.8
01/07/10;20:20:01;1350;69.79;69.8;69.75;69.86
01/07/10;20:30:01;1501;69.79;69.92;69.79;69.93
01/07/10;20:40:01;1648;69.93;69.77;69.75;69.94
01/07/10;20:50:01;1798;69.78;69.81;69.75;69.88
01/08/10;14:30:01;1924;69.77;69.52;69.51;69.77
01/08/10;14:40:01;1682;69.53;69.61;69.5;69.67
01/08/10;14:50:01;1649;69.61;69.66;69.55;69.67
01/08/10;15:00:01;1661;69.65;69.54;69.43;69.67
01/08/10;15:10:01;1512;69.55;69.46;69.41;69.58
01/08/10;15:20:01;1316;69.44;69.47;69.39;69.48
01/08/10;15:30:01;1229;69.47;69.47;69.42;69.53
01/08/10;15:40:01;1114;69.48;69.48;69.39;69.48
01/08/10;15:50:01;1158;69.48;69.6;69.43;69.6
01/08/10;16:00:01;1216;69.6;69.61;69.52;69.64
01/08/10;16:10:01;1192;69.61;69.61;69.56;69.67
01/08/10;16:20:01;1272;69.61;69.47;69.46;69.62
01/08/10;16:30:01;1091;69.47;69.39;69.38;69.5
01/08/10;16:40:01;998;69.4;69.51;69.37;69.51
01/08/10;16:50:01;1068;69.51;69.45;69.42;69.54
01/08/10;17:00:01;1114;69.44;69.45;69.39;69.47
01/08/10;17:10:01;1138;69.44;69.34;69.34;69.45
01/08/10;17:20:01;1156;69.34;69.46;69.33;69.48
01/08/10;17:30:01;1538;69.46;69.5;69.4;69.51
01/08/10;17:40:01;1152;69.5;69.47;69.45;69.52
01/08/10;17:50:01;906;69.47;69.48;69.45;69.51
01/08/10;18:00:01;970;69.47;69.49;69.45;69.52
01/08/10;18:10:01;994;69.49;69.48;69.45;69.51
01/08/10;18:20:01;1043;69.47;69.45;69.42;69.48
01/08/10;18:30:01;1147;69.46;69.46;69.42;69.49
01/08/10;18:40:01;1026;69.46;69.4;69.36;69.49
01/08/10;18:50:01;1031;69.39;69.36;69.3;69.41
01/08/10;19:00:01;1239;69.36;69.29;69.26;69.36
01/08/10;19:10:01;1045;69.29;69.32;69.28;69.41
01/08/10;19:20:01;1069;69.3;69.34;69.26;69.36
01/08/10;19:30:01;967;69.34;69.3;69.25;69.35
01/08/10;19:40:01;1133;69.3;69.25;69.23;69.32
01/08/10;19:50:01;928;69.23;69.26;69.22;69.3
01/08/10;20:00:01;1048;69.26;69.28;69.24;69.29
01/08/10;20:10:01;1055;69.28;69.22;69.21;69.33
01/08/10;20:20:01;1172;69.22;69.23;69.21;69.27
01/08/10;20:30:01;1245;69.24;69.28;69.22;69.3
01/08/10;20:40:01;1841;69.28;69.33;69.27;69.39
01/08/10;20:50:01;2234;69.32;69.5;69.32;69.5
01/11/10;14:30:01;1139;69.52;69.79;69.51;70.02
01/11/10;14:40:01;939;69.79;69.96;69.65;69.97
01/11/10;14:50:01;1132;69.96;69.92;69.92;70.07
01/11/10;15:00:01;1055;69.92;70.1;69.91;70.2
01/11/10;15:10:01;1149;70.1;70.21;70.03;70.25
01/11/10;15:20:01;1506;70.21;70.18;70.1;70.27
01/11/10;15:30:01;1365;70.18;70.18;70.11;70.3
01/11/10;15:40:01;992;70.17;70.14;70.06;70.26
01/11/10;15:50:01;1277;70.14;70.15;70.07;70.21
01/11/10;16:00:01;1144;70.15;70;70;70.19
01/11/10;16:10:01;1243;70;69.9;69.85;70.02
01/11/10;16:20:01;1391;69.88;69.87;69.85;69.97
01/11/10;16:30:01;1140;69.88;69.85;69.81;69.92
01/11/10;16:40:01;1145;69.85;69.99;69.85;70.09
01/11/10;16:50:01;1206;70.01;70.05;69.99;70.07
01/11/10;17:00:01;1049;70.05;70.06;70.04;70.13
01/11/10;17:10:01;1180;70.06;70.11;70.05;70.13
01/11/10;17:20:01;1010;70.11;70.08;70.04;70.13
01/11/10;17:30:01;1088;70.08;70.1;70.02;70.11
01/11/10;17:40:01;1213;70.1;70;69.99;70.13
01/11/10;17:50:01;1252;70;70.01;69.92;70.04
01/11/10;18:00:01;867;70.01;70.07;69.97;70.12
01/11/10;18:10:01;1015;70.07;70.11;70.04;70.12
01/11/10;18:20:01;1048;70.11;70.15;70.04;70.16
01/11/10;18:30:01;841;70.16;70.11;70.07;70.17
